snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
4.000000000000000222e-01,9.790201445143885683e-01
8.000000000000000444e-01,8.971869012391060494e-01
1.200000000000000178e+00,8.345134569489620624e-01
1.600000000000000089e+00,8.193848589655279291e-01
2.000000000000000000e+00,7.620236506207922478e-01
2.400000000000000355e+00,7.729531409002703413e-01
2.800000000000000266e+00,7.135656553592653051e-01
3.200000000000000178e+00,6.769443988720995620e-01
3.600000000000000089e+00,6.197946112311356615e-01
4.000000000000000000e+00,5.115394449359095264e-01
