run,indices,signs,weights,results
1,"[70131, 13989, 10631, 13787, 15306, 32663, 16284, 95098, 14201, 2440]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.098828267718115, 1.1749402233956767, 1.2703390905264536, 1.385555297122794, 1.416841680133291, 1.447302681091351, 1.4929426544850521, 1.6052257992052166, 1.6253674231599886, 1.73689014230627]"
2,"[54196, 48454, 59443, 58712, 59255, 6491, 7007, 28660, 13042, 40695]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.099491655886134, 1.2147466252770793, 1.3334056842564554, 1.4740204698472739, 1.605928784833844, 1.723846471306176, 1.734900405794327, 1.766359887640783, 1.8399582556323253, 1.909485488960264]"
3,"[1996, 72195, 74579, 98371, 44001, 52460, 89598, 12079, 19419, 55931]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, -2.725552231681011]","[1, 1.0804303350339983, 1.172371290885244, 1.2530698277856949, 1.3519730147776663, 1.4704680766409954, 1.5112998923572425, 1.593094714281988, 1.7320872016432176, 1.8997284555692495, -1.8343842276283413]"
4,"[27873, 60505, 4899, 33028, 24608, 89617, 33169, 75556, 92547, 20300]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.0995028395430264, 1.2115644505307113, 1.320386184765876, 1.4354345796030243, 1.5366579819044996, 1.654510102307772, 1.7863121219761282, 1.9410971669552493, -2.0900464261435485, -2.18098219622541]"
5,"[69035, 71193, 88226, 87665, 82482, 6730, 78998, 71227, 53053, 52290]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.1021387298627456, 1.2087721845512398, -1.2937581945891714, -1.433579888825628, -1.5694502261790886, -1.670905760887478, -1.7688389795906936, -1.9456668523202134, -2.001295968546623, -2.0061374867448127]"
6,"[62746, 81788, 53364, 47676, 7422, 75294, 6275, 68530, 10446, 28669]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, -1.1001494418227098, -1.2000533470110644, -1.308230400720145, -1.4136207908597014, -1.5543901772118616, -1.690829457638969, -1.8348185597126536, -1.9211779341367552, -2.03500970761083, -2.10162729876389]"
7,"[68794, 78706, 94891, 45470, 40392, 61609, 23345, 82669, 40202, 67577]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.102149840592228, 1.2089257674996043, 1.3169631682431646, 1.449703902091598, 1.5386832803946575, 1.6820898577628403, 1.752107311124551, -1.8535346199507912, -1.943360045172867, -2.012799617321975]"
8,"[53662, 33939, 48186, 2473, 34124, 94138, 4992, 67584, 68705, 73770]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1034711868047509, 1.2077671994806813, 1.3247815272348082, 1.4254117477747588, 1.5560553000298931, 1.6898294991449223, 1.767411904878169, 1.9159459565127732, 2.0922044679888994, 2.0540902053209313]"
9,"[19276, 28570, 40090, 37988, 63029, 8345, 33710, 92580, 21159, 60833]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, -1.104688122224183, -1.2091311480363882, -1.330192262123665, -1.4191148491730532, -1.5283459412503677, -1.61082622436954, -1.7291589917273382, -1.7876580669358408, -1.851972049523429, -1.9512959917269932]"
10,"[1149, 48913, 27816, 76822, 99031, 51820, 72934, 58442, 86020, 91831]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, -1.0915915520227253, -1.186802276661426, -1.313294924962713, -1.4173986880572575, -1.5198516223833207, -1.6174509876408196, -1.7461316151659094, -1.8506721488264046, -1.912774206184193, -1.920393258551286]"
