run,indices,signs,weights,results
1,"[647, 13, 485, 479, 514, 637, 545, 734, 904, 467]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9973899091293957, 0.9861006120188279, 0.9776657174506982, 0.9565508976306755, 0.9185128413970436, 0.9011682702531969, 0.85432711304816, 0.829680947574529, 0.7705277635480434, 0.7303851666944196]"
2,"[265, 615, 118, 338, 467, 562, 978, 252, 464, 573]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.99665726121975, 0.9884159023182428, 0.9795725939244921, 0.9723358307364541, 0.9571128334808788, 0.937640439987151, 0.9078513252504679, 0.8798965669970111, 0.8434484834230771, 0.7980959845714258]"
3,"[770, 668, 571, 685, 617, 981, 991, 853, 947, 465]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, -1.0855576981332693, -1.1310436534996475, -1.1784355159764008, -1.2278131449813188, -1.2792597461218291, -1.3328620114036887, -1.3887102653145644, -1.4468986170286702, -1.507525118988921]","[1, 0.9939602155477135, -0.977870743871482, -0.9587959184308277, -0.9429465198123108, -0.9155762050026561, -0.8789242670230464, -0.8455001978515082, -0.8066820783301563, -0.7521155798121925, -0.7028862029833746]"
4,"[743, 523, 271, 139, 316, 14, 142, 327, 143, 974]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9975006913883786, 0.9856491579476476, 0.9668187857210595, 0.9497209006457705, 0.9285894940059616, 0.9064667406808198, 0.8771113972267415, 0.8418138672875934, 0.7897694686378709, 0.7197691628787823]"
5,"[46, 30, 834, 506, 400, 367, 168, 390, 480, 742]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.997845236565201, 0.9860119687270659, 0.9748898927223899, 0.9439409131274932, 0.9046230512005018, 0.8752819957088906, 0.8368655852764985, 0.7891655190811465, 0.7376532953013986, 0.6993778154827647]"
6,"[115, 129, 64, 158, 400, 853, 613, 142, 34, 536]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9958712393456532, 0.9795773920709363, 0.9603472425085311, 0.9333726888374535, 0.8892053698541498, 0.8631342523087137, 0.8383385209107742, 0.805631264055906, 0.784663366459913, 0.7143406990759116]"
7,"[586, 383, 566, 415, 57, 336, 406, 98, 306, 344]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9969066753745021, 0.9907655867014005, 0.9830473455353842, 0.9647238076225124, 0.9438037810675098, 0.9071890632841175, 0.8654068628175124, 0.819764223704907, 0.7843097836183497, 0.743438244758098]"
8,"[428, 39, 176, 426, 154, 448, 967, 715, 409, 491]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9955714682161962, 0.9895682915237549, 0.9816478546786691, 0.9686227694373662, 0.9402713596432513, 0.8949537606869354, 0.8556304548536738, 0.8104656667195265, 0.7584996385142441, 0.6872353919324308]"
9,"[201, 230, 299, 810, 136, 609, 390, 807, 249, 514]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9945527638210976, 0.9871935981597937, 0.9795228167788783, 0.9675528290402916, 0.9364344844714659, 0.9000424692921059, 0.8617808054053957, 0.8378770768214067, 0.789405831756538, 0.7260035680255799]"
10,"[384, 872, 469, 593, 526, 571, 933, 860, 991, 493]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9988664975723213, 0.9912358297798427, 0.9813101955122479, 0.9668107177535012, 0.9537390535189021, 0.9296481715897469, 0.8959378971960591, 0.8483251011121176, 0.8147883958648003, 0.755862558885503]"
11,"[229, 331, 899, 641, 924, 846, 376, 202, 256, 184]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9974405535127511, 0.9909639175679898, 0.9791355896643311, 0.9604319889944757, 0.9246036281489255, 0.8903489661795296, 0.8483147761362538, 0.8112949781142476, 0.7886043796780051, 0.735487082120039]"
12,"[430, 624, 568, 705, 641, 796, 490, 833, 723, 976]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9955570322883747, 0.9920884002593329, 0.9808649913343295, 0.962149946922388, 0.9353184910705449, 0.9035052586109562, 0.8607215841414313, 0.8079516538719389, 0.7641369990963229, 0.7192439802173397]"
13,"[525, 398, 164, 129, 418, 501, 159, 520, 631, 163]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9933141225255091, 0.9854320805493435, 0.9595513168350294, 0.9227669689952036, 0.8999166541423298, 0.8770388988749579, 0.8087407711275267, 0.7774867364072013, 0.7516756778729712, 0.6942223717587793]"
14,"[867, 394, 192, 374, 469, 716, 417, 134, 26, 118]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9964803207829025, 0.9878144999770677, 0.9738943797659885, 0.940569761590323, 0.9170019536150742, 0.8926824325172633, 0.8478190065356361, 0.82179292014152, 0.774779212570663, 0.741257109718696]"
15,"[96, 880, 910, 638, 625, 600, 251, 264, 598, 775]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.9979636234341063, 0.9935683830065154, 0.9885596440031661, 0.9825024802711908, 0.9688566720164147, 0.9459420266663368, 0.9107846233689125, 0.8843591127738524, 0.8476375172981039, 0.7944734099367387]"
16,"[830, 406, 772, 807, 969, 893, 112, 916, 96, 100]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, 1.1784355159764008, 1.2278131449813188, 1.2792597461218291, 1.3328620114036887, 1.3887102653145644, 1.4468986170286702, 1.507525118988921]","[1, 0.998559900678593, 0.9909771545580277, 0.9656391470658847, 0.9530981723773935, 0.9220608460556187, 0.8763145091957252, 0.8421525014581634, 0.8105829328293159, 0.7705300846171386, 0.693546822302854]"
17,"[959, 759, 577, 116, 613, 727, 750, 975, 524, 422]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.041901002079022, 1.0855576981332693, 1.1310436534996475, -1.1784355159764008, -1.2278131449813188, -1.2792597461218291, -1.3328620114036887, -1.3887102653145644, -1.4468986170286702, -1.507525118988921]","[1, 0.9915483078762624, 0.9764162039888129, 0.9408157628444003, -0.9220093939037417, -0.9030186514080263, -0.8664912353234466, -0.8342885328531013, -0.8015568634190364, -0.7726030385463458, -0.7216872015714262]"
