run,indices,signs,weights,results
1,"[8974, 9853, 6853, 5826, 1188, 4770, 685, 4672, 2491, 890]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9625362466337201, 0.8932893743353285, 0.8034404090932629, 0.7037119350406206, 0.5954523773602668, 0.4956901938124197, 0.41160910109116267, 0.34476707770247167, 0.294965128415288, 0.2709464268153256]"
2,"[7338, 5411, 5788, 8976, 9184, 8098, 9228, 6086, 4218, 3810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9641850814442208, 0.8932462860241488, 0.7956137072865508, 0.6940237852686317, 0.584922768365417, 0.48197260987444107, 0.381922719595505, 0.3169547166856697, 0.2867233745345456, 0.2571562356918894]"
3,"[1019, 7406, 5776, 9428, 1201, 6104, 3967, 7402, 5075, 3883]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.966936108497594, 0.9029238468141431, 0.8127397540230036, 0.7065123922231038, 0.5896449274437596, 0.4707198832865258, 0.37284291102439254, 0.3038019717024639, 0.255583170646039, 0.23042372430692284]"
4,"[2467, 9691, 7536, 8413, 1169, 6807, 3483, 8050, 6913, 6937]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, -0.8532442667852227, -0.8383297248932695]","[1, 0.9639511930644493, 0.897831659933833, 0.8064642141100469, 0.7001926791620526, 0.5935200338808748, 0.4806469219156106, 0.38166920383094827, 0.30030845677219453, -0.25229739567422427, -0.23256103268401337]"
5,"[5823, 9465, 6637, 421, 1205, 3880, 4735, 7907, 8465, 2164]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9646653185458898, 0.8960901280319232, 0.8032188232230844, 0.6915885871264853, 0.5803762213929379, 0.4806823962814456, 0.398245963901638, 0.33736498754665806, 0.29477797783315474, 0.26138772190240883]"
6,"[3089, 7466, 6245, 3972, 4007, 8254, 6549, 8177, 9693, 9959]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9642446838006227, 0.9006620900302021, 0.8058942641121651, 0.6985974829581152, 0.592702953093286, 0.4906637292875672, 0.4054070180456453, 0.3354337954668046, 0.2880187009366389, 0.27867086257846674]"
7,"[8835, 4784, 9786, 100, 7186, 1340, 2219, 5808, 8911, 8239]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9649671396781142, 0.8932254909940442, 0.800257781785048, 0.6969798333376882, 0.5887215409494666, 0.4824312088890656, 0.4016085672528736, 0.3275407480198383, 0.2878600964988478, 0.2505240837361589]"
8,"[1338, 2485, 6629, 8140, 7636, 5666, 3777, 3139, 2597, 3993]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9652786251099448, 0.9014497008896516, 0.8105534168505115, 0.7024812367618819, 0.5862682300652986, 0.4753968374564668, 0.37859127978777346, 0.2955045705889003, 0.236441271579782, 0.21220776117992057]"
9,"[2514, 3001, 5123, 3461, 8963, 9288, 2232, 3111, 4012, 3722]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9653823293748384, 0.8968568451638768, 0.8049068108773215, 0.7001512021339609, 0.5864806150568916, 0.47252169000275346, 0.3865002925847588, 0.30766061374642734, 0.2626864667505418, 0.23467429934904202]"
10,"[4439, 4499, 1288, 1336, 5950, 2275, 7075, 525, 2875, 3207]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9641800163754376, 0.8976674647782666, 0.8027750309511066, 0.6903953292959643, 0.5746510321264374, 0.4722638963091846, 0.3759791484122817, 0.29656845103945645, 0.24079198708412303, 0.228742305831246]"
11,"[6542, 6559, 4303, 6639, 164, 3906, 6364, 3220, 4410, 1193]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9639568884078994, 0.8930846744290957, 0.8058257432614989, 0.6976376407974672, 0.590872677428722, 0.48708958275344116, 0.40102457521969476, 0.3302859843566116, 0.28351915921272564, 0.2539122585811776]"
12,"[1743, 7121, 6983, 7898, 6921, 8348, 2929, 5294, 8200, 2866]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9637904890295115, 0.8943367498763671, 0.7994503591179905, 0.6980482488679949, 0.5941554357747653, 0.4856850825864269, 0.39641935850853777, 0.32292513783121296, 0.27797315434850006, 0.2566475573157927]"
13,"[6138, 2586, 2687, 1710, 6392, 8779, 5011, 4031, 8119, 656]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9654245362943082, 0.8983450874828521, 0.8052386214891558, 0.7016831738091455, 0.584666427658828, 0.47514194739680576, 0.37382365742831286, 0.30902361287754354, 0.2602422061416386, 0.2341266278419115]"
14,"[3185, 3514, 755, 1646, 6673, 8323, 4993, 3328, 8376, 4391]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9630804225498653, 0.8932494542073232, 0.7963535654021885, 0.6950980199444099, 0.5845197485530755, 0.4795835393351621, 0.3808560922504012, 0.30431567140328036, 0.2549760928019773, 0.23527612857683322]"
15,"[3721, 5060, 5259, 9524, 93, 3104, 7672, 1977, 1121, 6056]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9641439561456312, 0.8957411188752633, 0.8076791521136245, 0.700199671717814, 0.593889158381582, 0.4887043218508003, 0.38380756442944625, 0.302631151305913, 0.25868707353801573, 0.23057699079636315]"
16,"[287, 2666, 3979, 7304, 3681, 8059, 1984, 7276, 8736, 8707]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9646042213074077, 0.8990249773876702, 0.8100043912765973, 0.7054058684683273, 0.5958546912078659, 0.4895203938556313, 0.3982412256276101, 0.30622425236692646, 0.26218163900142466, 0.2380133268699084]"
17,"[6687, 3102, 2698, 7832, 1963, 8674, 6146, 3801, 6476, 299]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9628328444363051, 0.8908469641382658, 0.7973619976752496, 0.6906641679336907, 0.5793540185696611, 0.47851772810308246, 0.39654671004082725, 0.32202481489653284, 0.28004454494860354, 0.25657375607058214]"
18,"[9154, 4602, 3926, 5284, 7971, 7598, 4107, 1887, 809, 332]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9650032886058527, 0.8981330300335398, 0.807921798257536, 0.7060457772643144, 0.6040579047516376, 0.49715400829194933, 0.4150770268240727, 0.34241176219544006, 0.2833374354429762, 0.25640162124581917]"
19,"[6666, 1381, 718, 2295, 6424, 8380, 1566, 4865, 2504, 9872]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9645354146034187, 0.8938986913514994, 0.801497325710777, 0.7020460694958276, 0.6017645037683363, 0.5150789408000234, 0.4235760275397095, 0.35062100171879695, 0.30838755272409557, 0.29056543628263937]"
20,"[3271, 3458, 544, 321, 5947, 8125, 718, 8854, 613, 8658]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9618739907863607, 0.8938537424817697, 0.7983455962139488, 0.6987118978851627, 0.5887981008867958, 0.48428078933966456, 0.39743276709881536, 0.3289941984157537, 0.2776382088357045, 0.2619325635525864]"
21,"[1546, 6197, 9427, 6064, 7329, 983, 8294, 631, 6736, 8164]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.961925629743654, 0.8910882974732771, 0.7940741417116314, 0.6836143779735867, 0.5645785678929142, 0.458980002300198, 0.36898317905946415, 0.3026319723399403, 0.26291991469166887, 0.24231813969956745]"
22,"[7632, 8227, 3738, 8445, 2607, 7206, 1016, 7011, 5257, 5263]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9642094953597897, 0.8963767039009324, 0.80498068459619, 0.6985266684829261, 0.5907982905021915, 0.4942504477326488, 0.40073809240419045, 0.3322426736935217, 0.26195451958424804, 0.23605193175331785]"
23,"[1700, 6472, 6886, 331, 6464, 9537, 7036, 3779, 1569, 8562]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.965021292151034, 0.8965388076974868, 0.8022687950720093, 0.6991149853767188, 0.5938128661949361, 0.4941817923123386, 0.40507180717492747, 0.3335717647464845, 0.29180207771376293, 0.26095852724632596]"
24,"[9937, 9285, 8647, 8518, 6994, 5521, 5921, 130, 7589, 4191]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9653269421370433, 0.8949082223082347, 0.7991651420324171, 0.6978292806643804, 0.5795613157560958, 0.468117569995311, 0.36984773809521626, 0.2935806876857391, 0.24087213523977866, 0.218627234713559]"
25,"[8452, 3275, 6251, 6347, 7109, 8781, 4572, 627, 1697, 208]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9620311373647129, 0.8911903929984506, 0.7925434099150178, 0.688206702664833, 0.57838247381205, 0.47884927100686026, 0.38831982662618764, 0.31787876377749946, 0.27175063329164956, 0.2288549287807013]"
26,"[3646, 4371, 1838, 6795, 8113, 2009, 27, 521, 4703, 3701]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9653655743722763, 0.8972333754560309, 0.8072211758641348, 0.702671890282893, 0.5892284107431986, 0.48550589108093967, 0.3953644815663624, 0.3153850091649726, 0.2668899437261363, 0.23537838521915996]"
27,"[7732, 2852, 9014, 1163, 6245, 5157, 1440, 6446, 6667, 5082]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9630486555332916, 0.8926271382576098, 0.7976256878457129, 0.6906776133896936, 0.5728919009360981, 0.4732206341971172, 0.3828914603076533, 0.31348033717892715, 0.26855889121979987, 0.24066433476483398]"
28,"[4453, 3361, 9542, 8238, 564, 5194, 9770, 8174, 7141, 6913]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, -0.8383297248932695]","[1, 0.9646710892427471, 0.8985469780524552, 0.7994933872831973, 0.6848311897273135, 0.57979227614382, 0.4772999959794524, 0.3732225123847606, 0.3064390828357795, 0.266364598617106, -0.24287560020196053]"
29,"[2304, 2458, 4845, 1994, 4990, 8063, 9972, 9774, 1615, 1884]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9628795097761366, 0.8940554391323887, 0.7979870845832434, 0.6924791080435907, 0.577627936333434, 0.4735185131089194, 0.3814873637803676, 0.32698038583101907, 0.2776896064127473, 0.2520746708619935]"
30,"[6046, 2661, 366, 462, 1732, 1260, 2319, 8796, 8628, 878]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9631818764335811, 0.8956674334156837, 0.8049613882457483, 0.7000782620572411, 0.5935530097406225, 0.48750406160189785, 0.39286285352009587, 0.33752418211554314, 0.3007700798720988, 0.2798925689034113]"
31,"[8819, 4776, 4392, 8462, 5549, 5981, 7480, 2562, 9267, 1129]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, -0.9484718800274279, -0.9318927781937794, -0.9156034757979407, -0.8995989072027624, -0.8838740953174353, -0.8684241500497196, -0.8532442667852227, -0.8383297248932695]","[1, 0.9633699991539075, 0.8955337274264646, -0.8086915682086715, -0.7046250774941408, -0.5955661692971698, -0.4821071929126025, -0.38245421575826116, -0.29874008150296644, -0.24608770082506473, -0.23228640800849631]"
32,"[664, 2428, 1802, 9034, 6533, 182, 8107, 8846, 347, 5405]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9649423674974216, 0.8954052862471418, 0.8027035069866472, 0.6987431091380509, 0.5954831498418578, 0.5039096775966893, 0.41416081510327035, 0.34810915967277994, 0.306063600521017, 0.2705675538537329]"
33,"[8329, 6604, 7359, 1963, 6083, 8761, 6689, 5397, 9694, 822]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9640898785769849, 0.8942043282619294, 0.7999643409127839, 0.691934016456897, 0.5766098745486274, 0.4707311592483474, 0.3814747379384454, 0.3052414917135229, 0.2593686320311917, 0.23302133816366272]"
34,"[603, 5822, 1688, 4052, 5303, 7141, 9123, 4403, 5522, 5985]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9641699761285185, 0.8913692061232773, 0.797620792155987, 0.6772357133481479, 0.5603194102156954, 0.4632918007389348, 0.3685457128977091, 0.29375992455991895, 0.2507916011337174, 0.22491451026846726]"
