run,indices,signs,weights,results
1,"[96, 84, 86, 79, 96, 33, 98, 80, 20, 13]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, -1.1131090701986535, -1.153586846597415, -1.1955365815185317, -1.239011802158511, -1.2840679822094465, -1.3307626126425707, -1.3791552750658178, -1.429307717749016]","[1, 1.0324395440542748, 1.0601415118868251, -1.0816824977610076, -1.1018229063309941, -1.1101666817387297, -1.1147213044558566, -1.1317248539464193, -1.1230845516729049, -1.0892693483490299, -1.0447453601834336]"
2,"[27, 73, 41, 71, 4, 12, 90, 66, 9, 88]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, -1.0740516033214678, -1.1131090701986535, -1.153586846597415, -1.1955365815185317, -1.239011802158511, -1.2840679822094465, -1.3307626126425707, -1.3791552750658178, -1.429307717749016]","[1, 1.0338278464872734, -1.0605242822505778, -1.0865042178187618, -1.1034800873531225, -1.1008047048019995, -1.1093122904240957, -1.1155340960713072, -1.1089142721826932, -1.0643212508344508, -1.0299242375106517]"
3,"[45, 5, 73, 32, 59, 57, 90, 42, 45, 15]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, -1.1131090701986535, -1.153586846597415, -1.1955365815185317, -1.239011802158511, -1.2840679822094465, -1.3307626126425707, -1.3791552750658178, -1.429307717749016]","[1, 1.03161770358603, 1.0469176647791747, -1.0583896182212504, -1.0571535431215262, -1.0204707158619724, -1.0245310305666289, -1.0232647410757603, -1.012421658232868, -0.9678028708035183, -0.9410328636065494]"
4,"[69, 6, 72, 95, 63, 36, 16, 35, 72, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0322741637321482, 1.0507077505541964, 1.0639394716531412, 1.0527162570184678, 1.031426320719941, 1.0375003048179663, 1.0012678091479648, 0.9805654380043661, 0.9353461533235314, 0.8727000828874547]"
5,"[35, 0, 20, 83, 57, 88, 47, 15, 60, 58]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0328483262582149, 1.0540623704637013, 1.0671850554213673, 1.0734503301181435, 1.0895691231444653, 1.0814943791184695, 1.081093211693869, 1.0745849472854743, 1.0481966166980528, 1.0092503847560987]"
6,"[31, 0, 34, 57, 63, 4, 90, 93, 48, 93]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0309841828263366, 1.0480823601930187, 1.074613898211473, 1.0970572196883859, 1.090181360304003, 1.074204291042099, 1.0799275540050624, 1.0860672978727373, 1.0749973358831717, 1.073139782994152]"
7,"[97, 0, 99, 33, 3, 92, 70, 59, 73, 60]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, -1.3791552750658178, -1.429307717749016]","[1, 1.0322256802382004, 1.0518717699999982, 1.0690487865287035, 1.0816875921178908, 1.0661803473626856, 1.071133721675433, 1.0608128627129698, 0.9932683594362142, -0.9494956250278423, -0.9039645595352308]"
8,"[58, 88, 34, 53, 71, 93, 71, 12, 5, 30]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0315696354888557, 1.0573800609845083, 1.086210794273394, 1.0918322589865286, 1.0973926920647215, 1.1149271251328852, 1.1032164113118774, 1.097838602010882, 1.039114919250535, 1.0127620242724058]"
9,"[97, 38, 60, 11, 42, 67, 1, 14, 99, 89]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0322256802382004, 1.0603584045210452, 1.080676560523773, 1.1035999563082342, 1.122826551763595, 1.1218039982080477, 1.1234571869797996, 1.112593806646716, 1.091562084442223, 1.0212585009409163]"
10,"[74, 95, 47, 6, 39, 67, 23, 89, 48, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0349956594884346, 1.0584505046334185, 1.0817118408075947, 1.0830074822191758, 1.0918152037249116, 1.079968487872084, 1.0773268112993208, 1.0157629356351865, 0.9999580905143075, 0.9832613948599316]"
