run,indices,signs,weights,results
1,"[95, 90, 31, 79, 46, 73, 25, 53, 92, 42]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.998605029555586, 0.9960675846198935, 0.9915768859712532, 0.9836752350116602, 0.9709309160907482, 0.9505933877325854, 0.923884292583748, 0.886732761948618, 0.853267609876769, 0.8194681752136737]"
2,"[64, 1, 70, 24, 24, 92, 75, 80, 1, 35]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9981767256284728, 0.9939091358776925, 0.9862454987315683, 0.9771927832820395, 0.9661766702772373, 0.9519421362755336, 0.9335358931089087, 0.9087554321652758, 0.8761614231221739, 0.8403279564696122]"
3,"[72, 15, 29, 80, 96, 81, 91, 49, 96, 98]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9985913103529891, 0.9949768495736896, 0.9884174598097053, 0.9788298015517771, 0.9642014169882926, 0.9468479754565545, 0.921627417987104, 0.8951160845053316, 0.8642995497919135, 0.8286462521225577]"
4,"[40, 99, 67, 93, 46, 50, 22, 75, 31, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9992248607234374, 0.9964259637622653, 0.9900712882825259, 0.980482429408319, 0.9666771396027465, 0.942455853232775, 0.9150439944627518, 0.8866737254679088, 0.8561476304833708, 0.8285797611356261]"
5,"[2, 97, 9, 70, 28, 8, 38, 45, 30, 59]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9990487224609585, 0.9964302439352246, 0.9905940018570283, 0.9810650216250806, 0.9671995299148468, 0.9498899281774962, 0.9290653339279468, 0.902592378939678, 0.8760267850086547, 0.8421511414099789]"
6,"[98, 73, 66, 14, 51, 47, 51, 69, 79, 67]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9992068949920468, 0.9958257282719372, 0.9894862424841144, 0.9788190970539374, 0.9637115448967692, 0.9452560169460444, 0.9210991230747768, 0.898361357346615, 0.8808289831179654, 0.8592928276132424]"
7,"[9, 67, 98, 6, 9, 49, 85, 86, 12, 48]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9988231854251983, 0.9955594297509096, 0.9898058948747602, 0.9777992233374645, 0.9605201514843902, 0.9402096983998223, 0.9110181940943207, 0.886848759008326, 0.8588708836223704, 0.8309623237848924]"
8,"[85, 67, 81, 45, 54, 92, 88, 95, 72, 23]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9991131971645977, 0.9961733165812363, 0.9910043113044578, 0.9822897111458249, 0.9671193023843636, 0.946310588525881, 0.9185650044815519, 0.8943229641271706, 0.8680472565379296, 0.8355210238119295]"
9,"[74, 88, 99, 39, 97, 64, 76, 4, 18, 19]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9987248429628904, 0.9959983174740081, 0.9897455609907535, 0.9810249016769345, 0.9704855939619914, 0.9551957884214026, 0.9358944518066914, 0.9066517247548893, 0.8760984004748318, 0.8513471384594726]"
10,"[43, 46, 55, 12, 6, 44, 87, 86, 24, 73]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.998641006088263, 0.9949670826288861, 0.9866652433236995, 0.9759211911841338, 0.9574361438553258, 0.9364515512032217, 0.9117547805542863, 0.8941421739056985, 0.8742133764619915, 0.8557065906221577]"
