run,indices,signs,weights,results
1,"[838, 388, 267, 598, 708, 841, 430, 756, 4, 862]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, 1.6508113901347432, 1.7575578908352232, 1.8712069459279805]","[1, 1.03927060570519, 1.02641536313448, 0.9906380567212634, 0.9090188835088766, 0.7743112560921818, 0.6880104807108043, 0.6592399125125827, 0.6684651729601577, 0.7402792077823982, 0.8412855983532281]"
2,"[992, 219, 494, 957, 283, 472, 130, 374, 713, 670]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, 1.6508113901347432, 1.7575578908352232, 1.8712069459279805]","[1, 1.0453024546356557, 1.0496274486716, 1.020367072530597, 0.9164303099891251, 0.8013678383142169, 0.6563902502339556, 0.49911772319508185, 0.4362280874009269, 0.4427189079295418, 0.5329553001479425]"
3,"[466, 566, 320, 424, 603, 623, 735, 353, 58, 110]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, 1.6508113901347432, 1.7575578908352232, 1.8712069459279805]","[1, 1.0371818127646735, 1.0473789808948257, 0.9816319606741192, 0.8769818165247976, 0.6999239799654265, 0.523109046663086, 0.44210432139939515, 0.46493855629455033, 0.5952551861092145, 0.7374241244021579]"
4,"[517, 827, 923, 968, 163, 255, 895, 509, 491, 296]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, 1.6508113901347432, 1.7575578908352232, 1.8712069459279805]","[1, 1.0390267106072344, 1.015570526391554, 0.9956566789375325, 0.8988600614865837, 0.8040450323881778, 0.6893118101243478, 0.5633514534916498, 0.5464382632645326, 0.608063591891984, 0.6977270605820262]"
5,"[245, 636, 743, 238, 653, 998, 477, 192, 519, 119]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, 1.6508113901347432, 1.7575578908352232, 1.8712069459279805]","[1, 1.0476785650303062, 1.078274553010166, 1.0780112416017307, 1.0446275430965593, 0.9502320708506299, 0.8488036209067064, 0.7578803260694419, 0.7200930777577911, 0.7164559560381712, 0.754936907951131]"
6,"[657, 382, 328, 238, 299, 54, 244, 177, 3, 445]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, 1.6508113901347432, 1.7575578908352232, 1.8712069459279805]","[1, 1.0594340206246973, 1.0779791034337032, 1.0231600119812494, 0.965277913972222, 0.811866601360809, 0.6575367931265436, 0.5579525717894941, 0.5517594361244376, 0.5962727053229397, 0.6835907058599366]"
7,"[796, 571, 5, 796, 801, 608, 593, 295, 51, 116]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, -1.3679206650708882, -1.4563745884595993, -1.550548212385511, -1.6508113901347432, -1.7575578908352232, -1.8712069459279805]","[1, 1.0536731305429063, 1.0815591363614574, 1.0561154193388143, 1.0021526552151048, -0.895391456225677, -0.7193675557267771, -0.5855568383086434, -0.5097282064144739, -0.47443499313676324, -0.5034799214488546]"
8,"[405, 828, 422, 334, 637, 284, 866, 375, 353, 957]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, -1.6508113901347432, -1.7575578908352232, -1.8712069459279805]","[1, 1.0492308536329604, 1.0799893868917803, 1.0648028335825113, 1.0304635368205146, 0.972006989503639, 0.8331670761941306, 0.7761470071646883, -0.7123102403365175, -0.7052799283256751, -0.770063097160381]"
9,"[299, 139, 377, 917, 991, 152, 827, 334, 990, 402]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, 1.4563745884595993, 1.550548212385511, 1.6508113901347432, 1.7575578908352232, 1.8712069459279805]","[1, 1.0291288470724365, 1.0253706219840475, 0.9837330067990867, 0.9054903848909882, 0.834382001977384, 0.7615841084233514, 0.6842998829204948, 0.6805540021360018, 0.7135930677391527, 0.8246783982082742]"
10,"[707, 393, 32, 796, 453, 813, 164, 707, 380, 681]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, 1.0646630507509203, 1.1335074116342554, 1.2068034589193053, 1.2848390522297903, 1.3679206650708882, -1.4563745884595993, -1.550548212385511, -1.6508113901347432, -1.7575578908352232, -1.8712069459279805]","[1, 1.032849398134155, 1.0094165697993032, 0.9558158964860943, 0.883221925324477, 0.7638751474595421, -0.6638752132381127, -0.6349177826754016, -0.5979258923628997, -0.6550920126873806, -0.7593825633862936]"
