run,indices,signs,weights,results
1,"[45, 51, 79, 73, 62, 83, 7, 47, 6, 22]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, -1.9716688019269117, -2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.168132141601514, 1.3118659581380916, 1.430899743114778, -1.5541847870042784, -1.5551386741104993, -1.577831739306954, -1.5119760125677206, -1.4327474394411706, -1.581649241907743, -1.8855781741178406]"
2,"[72, 96, 53, 18, 66, 35, 52, 17, 82, 95]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.165429699619633, 1.3144882965308484, 1.3590911558939025, 1.3661860314050223, 1.3808202626352488, 1.4451611781805798, 1.54627505932013, 1.6159148488217674, 1.850413052933848, 2.2718009255367995]"
3,"[7, 2, 42, 37, 3, 46, 55, 76, 51, 89]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, -1.6638933017528967, -1.9716688019269117, -2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1684742427188919, 1.3436722911652847, -1.460606263028471, -1.571860382246491, -1.6679731291149933, -1.69747804890773, -1.922200153024642, -2.1020732835831115, -2.337139306999018, -2.589574575882144]"
4,"[77, 51, 0, 74, 34, 66, 34, 74, 59, 81]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.152424898178129, 1.2875974119505469, 1.4252813810163785, 1.3817865249680057, 1.3115538632841957, 1.2724770999021013, 1.195373862446695, 1.1770335588646228, 1.3478806362224152, 1.794720309273]"
5,"[93, 91, 54, 80, 39, 49, 47, 73, 94, 60]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.162681617322324, 1.2519668309627587, 1.31168530771455, 1.2502359216974817, 1.0973385867193446, 0.9780225297182196, 0.8708244573104671, -0.9365575504949665, -1.1201936318155477, -1.7175238597563227]"
6,"[10, 84, 52, 6, 87, 13, 53, 48, 14, 59]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.164378458364262, 1.3215585254647362, 1.4129256940578403, 1.5071982617935409, 1.3558344583789281, 1.2800649090947767, 1.1472554136267674, -1.322867806432108, -1.7648490933338525, -2.308181547035593]"
7,"[23, 83, 7, 9, 19, 18, 16, 52, 84, 30]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.158646591795981, 1.300765167640273, 1.4437262087784342, 1.5245641063620712, 1.5464082419773397, 1.5770683329773967, 1.6486735308475104, 1.8968225096988893, 2.159790280625396, 2.6260744762455066]"
8,"[42, 0, 65, 63, 94, 15, 67, 17, 98, 96]","[-1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1849730988458071, -1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, -1.1564629473663526, -1.3301566614919957, 1.4429705516875553, 1.4928139615903926, 1.491906408710557, 1.4312555266204998, 1.5301234499526686, 1.3224016832959882, 1.3396199619677003, 1.528557907243848]"
9,"[2, 52, 59, 34, 41, 46, 52, 83, 47, 40]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1771982405260317, 1.3406347830310907, 1.3437598264461437, 1.3486366486518575, 1.3108514829619455, 1.2555396791134632, 1.2509515941611724, 1.420674730665882, 1.4786557297806677, 1.9540635742669692]"
10,"[47, 80, 21, 66, 2, 28, 68, 57, 25, 27]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1624651425484762, 1.2859293043914273, 1.4226018634572346, 1.4986454445580828, 1.5042688976688574, 1.3958753997187674, 1.3110520568559982, 1.1024869522921492, 1.1878677975128935, 1.478457169625018]"
