run,indices,signs,weights,results
1,"[2877, 2760, 4169, 8710, 327, 5043, 6147, 1046, 7766, 6957]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.03581768043044, 1.0680574435892551, 1.0915832939701977, 1.1177205627375568, 1.1426797301832803, 1.1544414827482903, 1.1635611223851656, 1.1578374141826795, 1.1479349376115087, 1.0889625689255822]"
2,"[9428, 8273, 567, 4512, 229, 744, 551, 2323, 8408, 9517]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0331462980980088, 1.0631659026069458, 1.095459407206691, 1.1165960698081754, 1.1248865076023473, 1.1293060215515003, 1.0987656879812409, 1.077384509576479, 1.0510554260185085, 1.0301551455509272]"
3,"[3374, 3036, 554, 9201, 698, 7420, 9409, 9968, 2739, 9252]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.031458704282312, 1.0624599535847075, 1.0798238151157822, 1.0976596848056943, 1.0954282863422724, 1.1078222840690939, 1.0954168865337142, 1.080991027731459, 1.088056315410141, 1.0848954399587043]"
4,"[2681, 2529, 3251, 5145, 976, 7271, 2095, 1821, 1573, 7524]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0323124549226268, 1.0575350495938975, 1.0859261871278167, 1.0992400737475394, 1.1050684411144613, 1.1208942693668609, 1.1072214655912982, 1.1055465064169385, 1.0629881907369452, 1.0252706688215982]"
5,"[5158, 9416, 9453, 4515, 690, 1975, 7031, 7241, 2364, 7812]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, -1.3307626126425707, -1.3791552750658178, -1.429307717749016]","[1, 1.034255056384131, 1.0630247135727073, 1.0905750720832388, 1.097530664882326, 1.1119154189690441, 1.098408552862363, 1.0993693540446121, -1.07228159784437, -1.040263675487471, -1.0297169358400189]"
6,"[6075, 9306, 9386, 1794, 7490, 4629, 2814, 2945, 5582, 7095]","[1, 1, 1, -1, 1, 1, 1, 1, 1, -1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, -1.153586846597415, -1.1955365815185317, -1.239011802158511, -1.2840679822094465, -1.3307626126425707, -1.3791552750658178, 1.429307717749016]","[1, 1.031241342631206, 1.055589017762229, 1.0668981264062198, -1.0722473334573905, -1.0645844562273725, -1.057451166123689, -1.0200226924086437, -1.0127693805759213, -0.9736963020942015, 0.9167410541300386]"
7,"[6189, 377, 2700, 3011, 8083, 3634, 898, 2331, 4158, 5163]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0348048460945845, 1.0676823435659066, 1.0943426178453244, 1.1026261945261129, 1.0713246633205813, 1.0783757112103565, 1.0657394270349174, 1.01443828016059, 0.9567566759979824, 0.9346502935383721]"
8,"[3324, 7855, 6356, 2752, 4076, 2089, 5561, 7690, 6499, 9234]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0329958727616517, 1.0668621422500164, 1.0872997348043683, 1.1002499353536692, 1.123436610007318, 1.147611822187284, 1.1518667236566797, 1.1648019059579424, 1.146003524335135, 1.1119780640867445]"
9,"[8504, 1416, 7854, 6617, 9436, 475, 9662, 7698, 7975, 4894]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.033788433037268, 1.0583675012846303, 1.0822745060992351, 1.0918530598470966, 1.0894837959200927, 1.0845512273822642, 1.0861618201976693, 1.0705600981578214, 1.0280970161171687, 1.0036955158704635]"
10,"[3728, 7407, 4818, 9121, 3693, 7953, 1447, 5585, 5440, 1598]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.03414050053898, 1.0601172341151024, 1.086418947378624, 1.0901889640617255, 1.0830784070849, 1.051701673853539, 1.0362203997481036, 0.9981829066241473, 0.9626080299059058, 0.93390408114725]"
11,"[4946, 8407, 1499, 5690, 1247, 4116, 2869, 6020, 9944, 3710]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0348808788540216, 1.0668189357628284, 1.0878819186427564, 1.1092549310838318, 1.1232994631835034, 1.1240542177403068, 1.1015849180662685, 1.0613844474110101, 1.0206034892901303, 0.9762667444953739]"
12,"[1437, 3489, 6466, 2815, 4442, 5881, 4181, 508, 5195, 7245]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0306691962234937, 1.0561030603667536, 1.0729771984311913, 1.088461171972327, 1.1048893845240577, 1.0966715938850415, 1.1119170547466888, 1.0820677495733741, 1.0650776083257516, 1.0702254819893504]"
13,"[1013, 4185, 5705, 480, 1279, 8309, 7015, 5160, 6957, 9448]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.033199943101663, 1.0639725500364263, 1.089518915663135, 1.1172963405735183, 1.1354243482580246, 1.1398054776294309, 1.1285099880996423, 1.0985269242385303, 1.0425503938968925, 0.9758523362005032]"
14,"[3626, 7487, 2752, 1318, 8614, 5268, 1315, 1998, 8116, 4308]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.033485145650971, 1.06033852043644, 1.0795647814306197, 1.1011870622843156, 1.0843417533481456, 1.0749446169589099, 1.0792089121469264, 1.060127397945425, 1.0061843053887216, 0.9447461907670828]"
15,"[1447, 682, 8184, 7873, 9268, 2596, 6528, 8196, 6137, 8886]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0322398921129228, 1.0545500058320887, 1.051836735111184, 1.074796821886663, 1.0698064604672721, 1.0353222919372533, 1.0307380014091885, 1.0147157977988246, 0.9895631731298099, 0.9537643700004491]"
16,"[5499, 5641, 9949, 7143, 1570, 6346, 9648, 5941, 3647, 6971]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0330184601596268, 1.0576140777229066, 1.0857028141213207, 1.1003747342253634, 1.108666478955035, 1.1215423731420882, 1.1277895301200356, 1.0917704601347171, 1.0745628908268823, 1.038523213736799]"
17,"[7865, 4608, 4108, 7590, 2533, 8204, 452, 6945, 2502, 968]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0336611562616147, 1.062161814673071, 1.0782056868789636, 1.0839191361138392, 1.0837799973549496, 1.0840384428358396, 1.0534758970588887, 1.025047551341992, 0.9788310775379824, 0.9284273113061879]"
18,"[400, 4093, 9682, 885, 524, 9864, 9443, 9289, 5822, 8142]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.032076615104276, 1.061585302869485, 1.0896253035369978, 1.118786801637621, 1.1463593992630965, 1.1568491857322551, 1.1690138958111784, 1.1346436451453727, 1.1283855927544504, 1.0954237390869301]"
19,"[5105, 2996, 5017, 9868, 641, 4120, 9697, 3629, 2790, 3496]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0312254525868727, 1.0607728557144296, 1.0790508644586436, 1.0922666818698323, 1.0995785542982845, 1.0992560976324717, 1.0760451104368576, 1.038894447380416, 1.003113423891275, 0.9893252757085385]"
20,"[3169, 2865, 5471, 5167, 2449, 6669, 7943, 5395, 6974, 7981]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0331276306416124, 1.0602222676296185, 1.0795960561446245, 1.100086042679725, 1.097383035485915, 1.0905996009382115, 1.094560498267897, 1.0822890340304052, 1.0616115406924476, 1.0348170151833562]"
21,"[6017, 7331, 872, 5432, 8804, 5965, 2107, 9726, 2663, 1244]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0352315848898919, 1.0648303437399833, 1.0935707973417708, 1.1143656892512934, 1.1313057082409945, 1.1244478840498346, 1.1069615557777295, 1.0854392614178292, 1.0394061650429236, 0.9902972358351104]"
22,"[1458, 5636, 9777, 7729, 7425, 8772, 1348, 2879, 5254, 2435]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0342887465465573, 1.055197251973454, 1.076047306407274, 1.091965332915405, 1.0905921902301277, 1.0975198682399392, 1.067537336143136, 1.0795599219567704, 1.0691604699121504, 1.0399137644338508]"
23,"[3148, 3363, 801, 3398, 8748, 9724, 3984, 2376, 6406, 9833]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.031249652476944, 1.055815303888887, 1.0711781846162547, 1.0793138531561017, 1.074734437473314, 1.0707505716988432, 1.0452433409294044, 1.0372884678484464, 1.0187070076031022, 1.0067411554387047]"
