run,indices,signs,weights,results
1,"[883, 905, 829, 722, 901, 913, 705, 891, 234, 917]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0329937895827288, 1.065074553668988, 1.087824803681119, 1.1144911358962284, 1.1298261439573207, 1.1303154873720707, 1.1328800362679368, 1.1270108098768103, 1.09472760866996, 1.0993264641800997]"
2,"[954, 623, 831, 636, 13, 938, 576, 470, 670, 957]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0359683080439288, 1.0689613590800904, 1.098775353782405, 1.1182154966869058, 1.1294590908298734, 1.1243272102743311, 1.11679975125543, 1.0730182118205358, 1.0390498846951564, 1.012206234408232]"
3,"[602, 858, 146, 537, 426, 565, 786, 885, 713, 244]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0315774975232759, 1.0621826113299384, 1.0900672572906887, 1.110848810455009, 1.1149460884465985, 1.1169555792128474, 1.1033103595345977, 1.0831010426285104, 1.086797791102595, 0.9943020140496621]"
4,"[531, 684, 299, 440, 242, 812, 515, 956, 295, 857]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0266391110059492, 1.0397144211875942, 1.0501211731756033, 1.0547526720422304, 1.0682705923358566, 1.0565151569677909, 1.046181594519522, 1.0315203782974987, 1.04316707321574, 1.0149288847750797]"
5,"[190, 82, 155, 59, 400, 233, 362, 110, 776, 260]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.030403872819643, 1.049898327624444, 1.07780134663134, 1.0814421878405758, 1.088305757711344, 1.076017717086052, 1.0641162134641382, 1.0666454206019604, 1.0581836885636244, 1.0204497953465175]"
6,"[391, 351, 590, 163, 626, 810, 805, 675, 451, 682]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, -1.1955365815185317, -1.239011802158511, -1.2840679822094465, -1.3307626126425707, -1.3791552750658178, -1.429307717749016]","[1, 1.0355337209382176, 1.0652057482782824, 1.0937212750401581, 1.1103770308502963, -1.1137937044401123, -1.109843798300782, -1.0975059248756416, -1.0782137125838516, -1.0622403670714808, -0.9925354739028301]"
7,"[53, 469, 107, 869, 817, 185, 778, 313, 550, 383]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0328167539566744, 1.0656847020479752, 1.089914359050562, 1.1024929460736899, 1.10943506221401, 1.1103105570708887, 1.1002036038136156, 1.0885867747240272, 1.0453965503135738, 0.9777936496270938]"
8,"[203, 959, 9, 51, 744, 573, 722, 823, 635, 995]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0337834044951977, 1.0614839296078724, 1.072979733283321, 1.0831839621532529, 1.1015917143848057, 1.127547915654774, 1.1415967295548852, 1.124960153875299, 1.1163777190881286, 1.1049052385733604]"
9,"[426, 951, 159, 335, 165, 214, 266, 222, 606, 518]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0316219266715445, 1.063482570959657, 1.0866325020733583, 1.1103780089193493, 1.1311952761232589, 1.1473282652072316, 1.1475449085485325, 1.1315786314045237, 1.1158182723004582, 1.1054012305742145]"
10,"[212, 408, 277, 53, 53, 555, 615, 121, 282, 37]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0363646092575083, 1.0740516033214678, 1.1131090701986535, 1.153586846597415, 1.1955365815185317, 1.239011802158511, 1.2840679822094465, 1.3307626126425707, 1.3791552750658178, 1.429307717749016]","[1, 1.0302403300694316, 1.0631703490428015, 1.084498312043278, 1.0970162867089355, 1.099659839333041, 1.1007190517574907, 1.111433171618996, 1.0991285466583223, 1.1061603841883696, 1.0871760902516292]"
