run,indices,signs,weights,results
12,"[866, 1413, 6201, 9548, 2485, 7588, 1576, 9603, 6478, 6758]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1000951513495696, 1.2068102776150693, 1.3252354096691183, 1.4254684389532974, 1.5050325106295277, 1.5979478661428983, 1.5850858870649842, 1.6920374737788508, 1.7752028472440793, 1.7995815179350156]"
13,"[8053, 9422, 2707, 1098, 1512, 1025, 7868, 3969, 1994, 1072]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.099486856588717, 1.2006681724838553, 1.3276196701752936, 1.4137764859034325, 1.532880920597453, 1.692578614039142, 1.6895812098161758, -1.5932150747294271, -1.6046575560099885, -1.6388452476214224]"
14,"[9321, 5627, 9609, 8954, 9570, 9215, 7004, 341, 4480, 506]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, -2.725552231681011]","[1, 1.0988299972826043, 1.1748384610605473, 1.2698184719167762, 1.3182723929831401, 1.4269598515213489, 1.466927884929896, 1.5864828711670795, 1.7112468438482238, 1.75208377686481, -1.7921936414855935]"
15,"[4072, 7693, 6005, 6104, 8656, 1588, 8024, 129, 7862, 8914]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0995044103906728, 1.208194614070233, 1.2964498930793944, 1.3914130931786968, 1.488189754071396, 1.5834273049044216, 1.7143016985857513, 1.7616239979875865, 1.8301285452491023, 1.8942422424865484]"
16,"[1046, 221, 7411, 7480, 8803, 1025, 5501, 8268, 2728, 6896]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1014690745277578, 1.1979283326561858, 1.3151026745966423, 1.4252443714240615, 1.5078696365595823, 1.669469548230801, 1.7542614018224054, 1.8477910482320348, 1.8516270545885414, 1.9894564155325838]"
17,"[3581, 1760, 2431, 2983, 2532, 4676, 5771, 7050, 192, 6115]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1041385617491046, 1.2176294745842793, 1.3266720062528896, 1.4342429820120652, 1.5523295446928678, 1.6968941475119934, 1.7756951171748954, 1.9408969929173348, 2.043734984892891, 2.0005892277641113]"
18,"[1447, 6601, 1501, 4523, 3530, 8099, 2433, 1364, 434, 7170]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.102113342500578, 1.2038176484844814, 1.3177111325293136, 1.4302998006621737, 1.4878878357270027, 1.5745223976454197, 1.6666809990745803, 1.788723216794937, 1.8959157406254752, 1.9199753163102047]"
19,"[6421, 3571, 7396, 6513, 8986, 3802, 9907, 1442, 3513, 5955]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.1001811826160894, 1.1975035474816969, 1.2928741722870856, 1.3899149422840047, 1.4994270619000385, 1.5899997680304838, 1.6754941456453378, -1.8010131391364974, -1.9527358368866576, -2.11463943292287]"
20,"[982, 6057, 307, 5863, 8499, 2714, 2414, 7055, 8171, 4577]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0981800579835344, 1.2124326575668145, 1.2701338322824343, 1.3419476181126857, 1.435822577906649, 1.4623588704260655, 1.4927995666383023, 1.5932744173794058, 1.7016180458501384, 1.8342192295911999]"
21,"[5530, 7875, 1393, 2612, 8938, 1287, 1440, 5258, 5606, 903]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.102143703908561, 1.2160903291536627, 1.3230576537997596, 1.4569052500867414, 1.5792562775601346, 1.6998381704222862, 1.7186515601119645, 1.6880852634982357, 1.81507534833299, 1.893046328532006]"
