run,indices,signs,weights,results
24,"[247, 281, 524, 38, 915, 41, 896, 252, 691, 926]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9641633337868379, 0.8965208622590821, 0.8069558623749503, 0.6980067552892485, 0.5938330229602725, 0.5057645957400869, 0.4349213283682571, 0.39963043534934173, 0.3741020038243633, 0.3789022524734617]"
25,"[597, 631, 814, 248, 880, 266, 880, 196, 299, 686]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9638097892229072, 0.8956499853691631, 0.8067243036549966, 0.706473701048336, 0.6054505310018217, 0.5230110687601907, 0.4642970850729832, 0.42559567147977945, 0.4119499200344582, 0.4153616540951857]"
26,"[534, 557, 115, 161, 712, 268, 145, 788, 861, 762]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9617474133450777, 0.8883695796061104, 0.7915890536305598, 0.6860524967279601, 0.5735960235348104, 0.48681815051105976, 0.42878860757467857, 0.3975337248732336, 0.37696881787933934, 0.3730553183434281]"
27,"[703, 117, 465, 2, 6, 189, 493, 438, 69, 169]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, -0.9318927781937794, -0.9156034757979407, -0.8995989072027624, -0.8838740953174353, -0.8684241500497196, -0.8532442667852227, -0.8383297248932695]","[1, 0.9634551558152664, 0.8933873894653892, 0.8019164839327413, -0.6951412541085191, -0.5901105033970991, -0.48684095955480167, -0.4189821439268745, -0.3850901832138363, -0.37582678265569675, -0.388106995498042]"
28,"[42, 89, 780, 994, 809, 451, 92, 519, 896, 673]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9655338862784411, 0.8966406272373398, 0.8042542815349082, 0.6903870623655166, 0.5864320724580221, 0.4944804260057769, 0.43027246506345973, 0.38242820148290435, 0.36042635883209667, 0.357540713405717]"
29,"[837, 51, 896, 287, 208, 813, 639, 661, 701, 723]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9625267925881609, 0.892510081696736, 0.796467847282757, 0.6902257747143018, 0.5877790720400127, 0.4944396843671441, 0.41949567709841357, 0.37879813374652566, 0.3657596424278528, 0.3800750157391237]"
30,"[997, 487, 693, 242, 170, 37, 245, 173, 813, 965]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9647282501946166, 0.8942814355347417, 0.8079106776749491, 0.7020932049336468, 0.6004399343519325, 0.5094910320424987, 0.44031607150745794, 0.3916488860896112, 0.36752977726917346, 0.37958714042234803]"
31,"[769, 608, 84, 825, 249, 933, 386, 114, 768, 63]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9652470475500088, 0.8997627345470213, 0.8080651814322474, 0.7076583625103116, 0.6153663702667418, 0.5289461183149082, 0.4510144299314893, 0.40773183970527843, 0.38810461927883305, 0.3715273736006683]"
32,"[144, 810, 713, 724, 727, 266, 678, 117, 640, 179]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9670754872205319, 0.9042760149215241, 0.8128691586806998, 0.7073376954480552, 0.5937687077143066, 0.5068028981463096, 0.42958539863793865, 0.3865408826446694, 0.36551189626312297, 0.3666648678095233]"
33,"[622, 11, 166, 674, 703, 738, 634, 379, 184, 228]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9628905232773192, 0.8989294230688758, 0.801933436357765, 0.6920452300957647, 0.5870429756096215, 0.5024519597507424, 0.431584010583943, 0.38193907807567107, 0.37639171593756804, 0.37614107892345267]"
34,"[52, 513, 884, 243, 363, 345, 57, 950, 820, 568]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9629978636011958, 0.8956646050709655, 0.7985686914799841, 0.6921414021394567, 0.5911000246501129, 0.4959719511590632, 0.41575594478090344, 0.36307962395702875, 0.36205910378358774, 0.3620805613236133]"
35,"[845, 217, 753, 444, 783, 649, 958, 60, 530, 198]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, -0.8383297248932695]","[1, 0.9639974108305179, 0.893948717156373, 0.8005501014703673, 0.6931654492849024, 0.5914912598234406, 0.5094479679427941, 0.45782699175358155, 0.42077279459790945, 0.4048770698193532, -0.4136501792674684]"
