run,indices,signs,weights,results
1,"[41, 94, 33, 9, 15, 33, 29, 43, 26, 81]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.962513465904048, 0.9257881994895462, 0.8898823464660267, 0.8542517260519521, 0.8193341894216296, 0.7855899016898414, 0.7516770700007572, 0.7185221300409802, 0.6864545472620319, 0.6553061730750293]"
2,"[78, 99, 42, 19, 39, 27, 22, 29, 74, 9]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9625628617379574, 0.9256130745919907, 0.8892570316397513, 0.8535567606222114, 0.8182197146739039, 0.783486609251821, 0.7494672940518676, 0.7160211279162513, 0.6840561510688105, 0.6528694795840887]"
3,"[79, 63, 90, 98, 20, 63, 86, 30, 36, 44]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9624747278349024, 0.92561993925282, 0.8890984519146437, 0.8535593605853338, 0.8183455506755629, 0.7842601049379891, 0.750523850731022, 0.7178854145214788, 0.685540781291499, 0.6546836589598769]"
4,"[15, 73, 92, 97, 16, 26, 48, 21, 32, 34]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9625625310964546, 0.9256351343140826, 0.8890112377389242, 0.8532296384176884, 0.8179505790875137, 0.783287740603113, 0.7491693247452248, 0.7160450491251368, 0.6835863185768759, 0.652333005699674]"
5,"[79, 58, 85, 51, 15, 1, 88, 61, 6, 32]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9624747278349024, 0.925461839394551, 0.8889206631327228, 0.8531707345197374, 0.8182020536289705, 0.7839797311997317, 0.7509114425907819, 0.718362214696073, 0.6862034668937816, 0.6551372884848375]"
6,"[35, 71, 6, 48, 16, 77, 64, 80, 57, 68]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9623738054279517, 0.9254872856562788, 0.888719101562721, 0.852672480913906, 0.8173062777389877, 0.7827906464791975, 0.7486884677176295, 0.7151845289824313, 0.6825227150360794, 0.6506726004010924]"
7,"[0, 66, 35, 81, 68, 85, 78, 43, 68, 87]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9625568365239721, 0.9258826927662279, 0.8892742356829643, 0.8535731444866762, 0.8180995295714114, 0.783551580455172, 0.7498848473419087, 0.7164709419913555, 0.6838034159925832, 0.6525703033215763]"
8,"[46, 51, 27, 19, 44, 85, 94, 19, 88, 69]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9625325791537523, 0.9256458273572457, 0.8890847504668795, 0.8533698438113841, 0.818451704793144, 0.7839518331459028, 0.7507802130345791, 0.7180199025137188, 0.6865746996468671, 0.6552110583941829]"
9,"[77, 3, 0, 64, 0, 30, 49, 48, 35, 62]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9625445790677776, 0.9255817254252303, 0.8892731136823327, 0.8533164294347559, 0.8182634094285647, 0.7840562467410136, 0.7500217221932456, 0.7166599830376217, 0.683958496726365, 0.6529478367687742]"
10,"[77, 30, 5, 86, 44, 71, 54, 9, 45, 39]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.962994528669849, 0.9273584622480644, 0.8930411252605708, 0.8599937175030948, 0.8281692446459242, 0.7975224514066666, 0.7680097571959853, 0.7395891941447932, 0.7122203474247789, 0.6858642977774013]","[1, 0.9625445790677776, 0.9257075028641201, 0.8892909533238295, 0.8534592695662019, 0.8185236814249554, 0.784476195672261, 0.7510132003450837, 0.7181373493996374, 0.6857711685130994, 0.6545941924782585]"
