run,indices,signs,weights,results
1,"[676, 468, 809, 788, 271, 145, 614, 549, 459, 282]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1692236864330696, 1.318022428634906, 1.4399116359129849, 1.4625908046510436, 1.3308120945890212, 1.1405491799358138, 1.0566825690137789, 0.9415179931156883, 1.0139348136428568, 1.408559247612278]"
2,"[96, 801, 171, 457, 601, 401, 360, 208, 717, 796]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, -5.45864575806916]","[1, 1.1435250887263528, 1.2444042525246084, 1.3547828353387446, 1.3110931820986667, 1.2144229762789316, 1.0169527210721658, 1.017330185966631, 1.1451422502408888, 1.3868070443530913, -2.022828878696246]"
3,"[596, 955, 671, 502, 979, 823, 685, 269, 66, 581]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, -1.4041612449882361, -1.6638933017528967, -1.9716688019269117, -2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1582307239869518, -1.2942844022234747, -1.4087336292119719, -1.4335022421896502, -1.312596324813895, -1.1841370607217514, -1.3008164372486175, -1.5271263625498654, -2.0465275049921186, -2.8919605230834557]"
4,"[366, 491, 122, 126, 21, 326, 673, 603, 361, 619]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1849730988458071, -1.4041612449882361, -1.6638933017528967, -1.9716688019269117, -2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, -1.1535806898092122, -1.320402554780128, -1.419785303372618, -1.4341321169665933, -1.3083938012161238, -1.058340384529879, -0.9457493350505636, -0.9450715184452708, -1.3680398751845813, -1.8387711824313482]"
5,"[361, 71, 112, 601, 331, 265, 657, 925, 613, 940]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.153000804109747, 1.2464455142126727, 1.3408231922890284, 1.3170327385812157, 1.1914494836371199, 0.9853167593411694, 0.9816105369949979, 1.0807222811490766, 1.4775236632508886, 2.347173134428551]"
6,"[839, 84, 23, 741, 551, 352, 977, 876, 872, 263]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1404172475114285, 1.2548800422984714, 1.289963390226303, 1.3002814895208765, 1.2584389649949022, 1.0955553696260223, 1.0933109621398232, 1.1171973471251535, 1.4225524529961575, 2.001523816858691]"
7,"[185, 516, 124, 813, 715, 976, 852, 292, 596, 732]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.159898378419647, 1.3434844913960398, 1.3738797621937213, 1.4263653605469355, 1.443954764625949, 1.3642157620770075, 1.339305405627417, 1.409020793930971, 1.5288099440700889, 1.9556150980699447]"
8,"[946, 53, 531, 363, 724, 830, 761, 488, 737, 518]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1565218747548296, 1.2381775042235965, 1.3118727065549727, 1.3137839350940679, 1.2240651032160625, 1.1310337170980898, 0.9459290545458271, -1.0747224736631096, -1.4007646238927445, -2.010963648907076]"
9,"[16, 108, 177, 924, 31, 47, 935, 188, 392, 45]","[1, 1, 1, 1, 1, -1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, -2.7685409196181543, -3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1610725162734385, 1.3404356531264023, 1.432115163124284, 1.5188407896416374, 1.5432970398313233, -1.5279176686730314, -1.4190061632252187, 1.5142098233548151, 1.7656761153500715, 2.0774845396518478]"
10,"[655, 557, 64, 871, 910, 701, 88, 507, 375, 136]","[1, 1, 1, 1, 1, -1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, -2.7685409196181543, -3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.166472296950727, 1.3297498738665847, 1.516338432338543, 1.526668517457406, 1.4283962656494684, -1.4875738337912967, -1.4021709739788513, 1.4762755489587203, 1.609877882368565, 2.015239903988592]"
11,"[722, 453, 136, 549, 33, 689, 9, 450, 247, 587]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1562442533325663, 1.272295683264322, 1.311397187997381, 1.210321962779468, 0.8940396148331238, 0.745521707597247, 0.6594697946519966, -0.6666255871697998, -1.0603778823859664, -1.846296318276298]"
12,"[1, 257, 83, 714, 964, 857, 825, 17, 894, 106]","[-1, 1, 1, 1, -1, 1, 1, 1, -1, 1]","[1, -1.1849730988458071, -1.4041612449882361, -1.6638933017528967, -1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, -1.1527970150254552, -1.2529833991273076, -1.324363230603335, -1.3273080902332854, 1.3174490034418969, 1.3996541020250401, 1.4964835806503902, 1.4317292828219381, -1.563607421358295, -1.7551243428793506]"
13,"[476, 641, 973, 206, 921, 825, 119, 746, 770, 236]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.1849730988458071, -1.4041612449882361, -1.6638933017528967, -1.9716688019269117, -2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, -1.1543779454351077, -1.3344917611577762, -1.4503034428091932, -1.4772762069797525, -1.4338853041955748, -1.3681128870966457, -1.3843770250151275, -1.3357553728935398, -1.561231219058304, -2.0211882081127395]"
14,"[289, 250, 78, 689, 39, 572, 195, 371, 308, 295]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.152750396217038, 1.2876838345923065, 1.3447232283262154, 1.4038552177521917, 1.4373367326234798, 1.3917654131707187, 1.4774503517844706, 1.7431937678880527, 2.03430758793856, 2.52748555998484]"
15,"[37, 844, 90, 994, 71, 470, 880, 625, 213, 35]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1766223022277833, 1.3496480112681954, 1.4943881366339533, 1.5861715474526745, 1.4455414964108029, 1.4414060252291607, 1.453834525507311, 1.506008802132842, 1.6758023005380298, 2.1061460827313487]"
16,"[920, 821, 427, 285, 520, 299, 373, 133, 602, 562]","[1, -1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, -1.4041612449882361, -1.6638933017528967, -1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1129224032466716, -1.2145450119866528, -1.2117584583357304, -1.187555983868179, 0.95683738501231, 0.8986128941067143, 0.7898626197855276, 0.9111656929374752, 1.3183716080331687, 1.9189387217275946]"
17,"[476, 752, 887, 713, 626, 748, 639, 452, 713, 409]","[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, -1.1849730988458071, -1.4041612449882361, -1.6638933017528967, -1.9716688019269117, -2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, -1.1543779454351077, -1.3017456923779607, -1.3567676945463814, -1.3199179696181031, -1.2312774074212505, 1.2267301198789164, 1.2535506067601936, 1.394037419481244, 1.7130541468224139, 2.252240726961134]"
18,"[832, 774, 264, 873, 958, 795, 530, 241, 360, 207]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1620391948485225, 1.3068873413628301, 1.4365614306995147, 1.4603078164479921, 1.5869358770096467, 1.5431925236532105, -1.5542371818417158, -1.6399599258302324, -1.8975215950025333, -2.318732182398979]"
19,"[880, 592, 267, 218, 356, 689, 714, 50, 305, 420]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.168981848488439, 1.296339772880247, 1.3377747783142955, 1.0616214773135046, 0.8683043379174165, 0.7251312438708546, 0.6025349904684976, 0.7022106909812148, -1.0117457569325154, -1.6160068384712512]"
20,"[169, 284, 17, 628, 738, 888, 253, 438, 705, 431]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, -1.4041612449882361, -1.6638933017528967, -1.9716688019269117, -2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1769220679946288, -1.3138431274197229, -1.3942424285239037, -1.5098497936627415, -1.4528464101454073, -1.2850269019840908, -1.2762678807731929, -1.200529233018503, -3.2503155397318575, -3.764161482549131]"
21,"[197, 549, 873, 198, 578, 469, 64, 988, 438, 426]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1375720077144056, 1.2184047604513, 1.2250985188463446, 1.0988963455419256, 0.9818309247868527, 0.8867877741651027, 1.0051744174749333, 1.1601330042817661, 1.5291378690928297, 2.2082696931208443]"
22,"[301, 522, 905, 879, 503, 751, 169, 280, 203, 464]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1756806772597062, 1.3433848505763837, 1.3136657483207461, 1.1442658804786392, 1.0210849185935735, 0.9438921803701523, 0.928144496738878, -0.9919185884934449, -1.3180303076718838, -1.9186568193723585]"
23,"[949, 625, 646, 32, 838, 364, 38, 860, 217, 248]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1529683237348975, 1.2753925765612506, 1.3823659321378405, 1.4836766306800995, 1.5467329381346313, -1.2610137913831971, -1.538983058148543, -2.013835108780931, -2.3999801827060203, -2.9197394328100876]"
24,"[975, 438, 909, 603, 947, 350, 124, 330, 956, 905]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, -4.606556691781452, -5.45864575806916]","[1, 1.1284735268119117, 1.2430486671742433, 1.2942107641870473, 1.2959827681940403, 1.326132944291373, 1.2320569427205526, 1.0541029325856741, 1.135311207509493, -1.3087025863485675, -1.9002061176746246]"
25,"[422, 841, 600, 186, 846, 318, 290, 516, 697, 829]","[1, 1, 1, -1, 1, 1, -1, 1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, -1.9716688019269117, -2.336374490116932, -2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1703018120799298, 1.3411848702297444, 1.4533077985874425, -1.3890160389255817, -1.3749248939373502, -1.508968410834921, 1.6039194041120932, 1.7009629613980146, 1.7323277556651202, 1.7955900483095029]"
26,"[34, 362, 48, 803, 944, 116, 713, 339, 968, 695]","[1, -1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.1849730988458071, -1.4041612449882361, -1.6638933017528967, 1.9716688019269117, 2.336374490116932, 2.7685409196181543, 3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1604615280695239, -1.3481359001241924, -1.4931534868250473, 1.6236046649640787, 1.6400548305395266, 1.6177514889803701, 1.5276099943596972, 1.6246963427724237, 1.6621800617408105, 2.019134697391534]"
27,"[260, 657, 709, 621, 13, 530, 651, 772, 763, 157]","[1, 1, 1, 1, 1, -1, 1, -1, 1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, -2.7685409196181543, -3.2806465128013462, 3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1337171147406828, 1.252948288963176, 1.3337912982955957, 1.3520448953404454, 1.29634198493541, -1.2320134606353879, -1.108112899010526, 1.1797412244754764, 1.448337486166525, 1.8541266913933807]"
28,"[787, 94, 269, 579, 600, 305, 503, 661, 280, 663]","[1, 1, 1, 1, 1, -1, 1, 1, -1, 1]","[1, 1.1849730988458071, 1.4041612449882361, 1.6638933017528967, 1.9716688019269117, 2.336374490116932, -2.7685409196181543, -3.2806465128013462, -3.887477864491901, 4.606556691781452, 5.45864575806916]","[1, 1.1448788521603013, 1.283268511138329, 1.3870071225365843, 1.4792249190160198, 1.3977616475352983, -1.3553946875474414, -1.2507415536487585, -1.3275015734252449, 1.5442384457961813, 2.0738238154375477]"
