run,indices,signs,results
18,"[9213, 792, 7030, 1687, 3971, 5587, 1844, 2165, 8274, 2251]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9922008804980034, 0.9740715291263955, 0.9451751970383095, 0.9225725066924682, 0.8922305723455042, 0.8722072131082585, 0.8455869836922391, 0.7722088273813354, 0.7332081512228847, 0.6823231695998719]"
19,"[1180, 8711, 3517, 1244, 8103, 3317, 4179, 4211, 731, 5027]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.996988665811125, 0.9876199590893862, 0.9870542183131334, 0.9750627003073513, 0.9590755749442246, 0.9458113783773391, 0.9245699720871703, 0.8568887856548599, 0.7958045719555613, 0.7571312017794285]"
20,"[6042, 6705, 4983, 7964, 4350, 3085, 9512, 1055, 5094, 5911]","[-1, -1, -1, 1, 1, 1, 1, 1, -1, -1]","[1.0, 0.9999942381101972, 0.9916758936512817, 0.9891540337634168, 0.9790868698426447, 0.9705427386414265, 0.9505087362434138, 0.922714788179865, 0.8693560521495003, 0.811704273733113, 0.7683662247279421]"
21,"[9691, 1538, 7890, 4398, 735, 4347, 3292, 461, 1922, 7304]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9922985226824134, 0.936309021327165, 0.9195818768655338, 0.8513443151938536, 0.78194438362744, 0.7534218966630797, 0.6372291388772748, 0.5390905184445699, 0.5076770253043779, 0.44974262174750573]"
22,"[9000, 3491, 7559, 7916, 5143, 3286, 9990, 7410, 1040, 8489]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.999374683974742, 0.9970188437104073, 0.9853893665592001, 0.971616994380197, 0.9529051103855415, 0.93476622329285, 0.9256138839465134, 0.9038306158018345, 0.8898169090563537, 0.859012080775827]"
23,"[4387, 2187, 3665, 8467, 6826, 223, 5560, 868, 9276, 2032]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951920428282013, 0.9879847991112207, 0.967346440771889, 0.9565672563652907, 0.9380232797628891, 0.936273755347489, 0.8886454770210475, 0.843141541476099, 0.8239176056775692, 0.7795539755331604]"
24,"[8462, 2128, 159, 9146, 4586, 3305, 4954, 4925, 1945, 3581]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9940069847827773, 0.984098732474552, 0.898871052129751, 0.8512807711940776, 0.7872470545529293, 0.7076683151445475, 0.6925262981780889, 0.6624003494005283, 0.6448158183825107, 0.6485482165627697]"
25,"[9160, 8529, 3186, 3385, 2899, 6376, 8329, 6687, 9479, 4238]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9874031916627488, 0.9614829118212178, 0.9012829168058376, 0.8981829293562407, 0.8932092392364008, 0.8517029058979659, 0.7692419119847834, 0.7430670772019587, 0.6431567825875912, 0.6163849003366134]"
26,"[1387, 2798, 3328, 9989, 4675, 5814, 7932, 8125, 7807, 9008]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9951977631698918, 0.9875037923781163, 0.9786911519102924, 0.9358040669602827, 0.8958688674433213, 0.8629314156735732, 0.8334744680318628, 0.7511567800903518, 0.7299951956107225, 0.6579031826386736]"
27,"[9230, 3454, 4608, 4536, 4267, 104, 8561, 1783, 3869, 3966]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.985203431215975, 0.9751473292066395, 0.9373880103842499, 0.9103108630483575, 0.8672489268439394, 0.7798891176170568, 0.6925765312024745, 0.6351874543716926, 0.5762714386041216, 0.5193412446781744]"
28,"[4819, 1267, 892, 6326, 6577, 4406, 1185, 525, 9931, 8498]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945954932069321, 0.9886921270590494, 0.9786007255712985, 0.966523465010135, 0.9139374620820488, 0.8510216884131057, 0.777110003515193, 0.6656929050378297, 0.6129610270189736, 0.6052788691276881]"
29,"[2876, 1281, 1630, 4096, 9169, 7652, 1760, 9876, 4357, 6810]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981953598234294, 0.9938879558526104, 0.9889465880063113, 0.9511350657594464, 0.9075990354087975, 0.862244783303088, 0.845623026940389, 0.8052269124012574, 0.7555455004671758, 0.6963883967664561]"
30,"[6880, 7139, 177, 5446, 9426, 3016, 928, 130, 5197, 9879]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9946659782595564, 0.9947941532014786, 0.989829430819146, 0.9420271066041376, 0.905867014631167, 0.8729141202769771, 0.8401734050005176, 0.7694382229713651, 0.7113442618635986, 0.6642153262061522]"
31,"[7198, 382, 414, 2133, 3127, 7475, 1740, 1861, 3074, 279]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9970002139061251, 0.9874723057578556, 0.9842961229341822, 0.9605489030004362, 0.9409112480908737, 0.9185565801542597, 0.9235002095917458, 0.8962847145338584, 0.8696109203253422, 0.825581956106507]"
32,"[2045, 8826, 2463, 13, 3921, 3293, 198, 6896, 3130, 2227]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939464344379328, 0.983838211959116, 0.9280918259121568, 0.901904497186649, 0.849562555390746, 0.8269174074578401, 0.7828248931460102, 0.7638920087666137, 0.7482661324358879, 0.7024521602090505]"
33,"[5278, 3433, 5721, 6564, 1638, 5719, 7654, 6371, 1255, 1177]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9993705290713637, 0.9939641713733993, 0.9830272770957252, 0.9710396587357424, 0.9366201228036639, 0.9014241089114088, 0.8764499667235491, 0.8171277722180295, 0.8025566372732409, 0.7737434984599383]"
