run,indices,signs,results
272,"[4007, 8402, 492, 1861, 917, 6003, 7313, 5827, 5471, 3539]","[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]","[1.0, 0.9939896051588255, 0.9684187334884495, 0.9483671303356489, 0.9244187776709684, 0.9254561050996819, 0.9169838044875248, 0.9105940723727961, 0.8951307386591676, 0.8532406060772781, 0.8518736142527366]"
273,"[5130, 2349, 2700, 3605, 8552, 2383, 2726, 7828, 5380, 2303]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969987812743484, 0.9962107925180215, 0.9897579969566225, 0.9571622911121518, 0.916406663863637, 0.8773869306419048, 0.8109946442661855, 0.7468448580862181, 0.6158126822162411, 0.6077900825549347]"
274,"[7459, 3324, 6454, 6478, 2262, 3359, 5854, 2848, 2355, 1698]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945555327381029, 0.9772860663024224, 0.9602666012023997, 0.946379723632295, 0.9090310659330022, 0.9113078278005613, 0.8636927838433063, 0.8636927838431967, 0.8338633501519893, 0.8276878268187748]"
275,"[738, 3407, 594, 9650, 8186, 3807, 2797, 9052, 3812, 9973]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.996391178676215, 0.9822508504654452, 0.9562499853341728, 0.9454919692373744, 0.9101909723292814, 0.8845640216145138, 0.8845624345532768, 0.8408619545926881, 0.7818516643303752, 0.7019762019553445]"
276,"[9351, 4147, 7765, 2442, 6417, 9720, 4554, 4259, 8129, 8082]","[1, 1, 1, 1, -1, 1, -1, 1, 1, 1]","[1.0, 0.9963813487857933, 0.9891187185206713, 0.9753611508981785, 0.9677297003919529, 0.9452316496521799, 0.9288573921962029, 0.8948157721263803, 0.8797857411322292, 0.8160301601893887, 0.7379383101194066]"
277,"[6517, 5444, 1377, 9816, 2529, 2887, 9160, 8386, 1793, 3470]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9969944398493329, 0.984441974336151, 0.9837728059904504, 0.9549600758233071, 0.895636993608034, 0.8720515604555412, 0.8062495510217015, 0.7829692428318684, 0.7315223408692899, 0.6934666457033074]"
278,"[5044, 4369, 2267, 1187, 3670, 6796, 6572, 7382, 9382, 190]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9944774493582282, 0.970515360645511, 0.9460269791881974, 0.9054316694030549, 0.88207603596162, 0.8472334417642076, 0.7560280442080434, 0.7447256883154947, 0.6811841091277158, 0.6181014459677227]"
279,"[6659, 7450, 5154, 339, 5388, 1644, 3175, 1802, 8189, 4898]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9844414742788252, 0.9684634754545727, 0.9472289615546694, 0.9085507176689256, 0.8944639220680393, 0.8537242233891449, 0.8063570022218383, 0.7399601992538961, 0.6184212037122063, 0.5890884082955318]"
280,"[2421, 2999, 4625, 6881, 7753, 8546, 465, 539, 9519, 3468]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969929915421268, 0.9892061771400158, 0.9785305086262452, 0.9420939204260749, 0.9202598418347862, 0.8933798702606347, 0.8620263274641612, 0.8315986274071142, 0.7866666168810286, 0.7662327369982211]"
281,"[340, 6275, 984, 7501, 1418, 5110, 9237, 4379, 1430, 3864]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9916152254808359, 0.9770831341090981, 0.9265333141475535, 0.9135172797008615, 0.8755306459233013, 0.8401451106313624, 0.801232784381086, 0.7589998589176963, 0.6711210185578274, 0.5764514592740235]"
282,"[2089, 4843, 1008, 3626, 6300, 574, 9200, 3098, 9170, 674]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963713636312028, 0.9915671005379445, 0.9817080242531667, 0.9575577998401164, 0.9404704262470878, 0.8961209130889001, 0.85019117759581, 0.8032271975726331, 0.7335702224849504, 0.6848459266288268]"
283,"[9952, 9106, 9957, 5672, 3584, 3239, 1166, 6481, 3519, 457]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9897905936072504, 0.9614070973285846, 0.9517832459831679, 0.948872259214065, 0.9311223800579793, 0.9068095342840765, 0.8899781240411223, 0.853615860065527, 0.7927139416398032, 0.7422859651942614]"
284,"[5573, 9321, 6017, 3242, 2162, 1603, 4254, 3740, 8205, 115]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.99700458488739, 0.9838526075084628, 0.9776243405155697, 0.9740565418312066, 0.9087817495218704, 0.8444399178605106, 0.7894721633555445, 0.7537574483237819, 0.720962792869125, 0.6875826656850312]"
285,"[2083, 4286, 8256, 8978, 9028, 852, 6654, 3654, 6796, 6734]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9880124672943946, 0.9891855580666166, 0.9605083943653789, 0.9384608214658918, 0.8862467282962112, 0.8841799895409834, 0.8485935934910283, 0.7970086201485576, 0.7518605613634055, 0.69116434156031]"
286,"[8175, 5064, 3991, 4865, 5583, 9001, 6127, 3679, 3492, 6251]","[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]","[1.0, 0.977313304873821, 0.9697676944060689, 0.9592314094108707, 0.9448188843885428, 0.9118074087456562, 0.8777220319805663, 0.8289261225910076, 0.7860729619153318, 0.787689326931003, 0.7016152115403125]"
287,"[1889, 636, 4446, 7917, 9879, 7494, 4357, 1381, 4647, 7626]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9826372790314643, 0.9680351687891764, 0.9455142730909964, 0.9272890632497972, 0.8941034750612017, 0.8345684289396758, 0.7966075583653449, 0.7512967743003021, 0.6931264483338264, 0.6247830436545666]"
288,"[123, 2923, 311, 2772, 7185, 8429, 5823, 9255, 8487, 8627]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963957882792207, 0.9922213585777491, 0.9810554116012884, 0.9806324352678193, 0.9561698527074893, 0.9186089077474731, 0.8541433325884766, 0.7859338401949207, 0.7195455802402484, 0.6592908705562917]"
289,"[3146, 4838, 8310, 2883, 6812, 9938, 5148, 1051, 7840, 1482]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993861817469072, 0.9794197343771023, 0.9758197059392906, 0.9636322667819988, 0.951624005087166, 0.9183324666561468, 0.8916645285618936, 0.8313171870874883, 0.7702716606839253, 0.709294175218836]"
290,"[4253, 7142, 6215, 2972, 3191, 9478, 674, 7430, 8050, 2681]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939925017688696, 0.9777387338670792, 0.9386260615259834, 0.8949906485691462, 0.8515292477960712, 0.848695866068041, 0.8087624108547828, 0.8089005115614116, 0.7744164781554201, 0.6692002613084047]"
291,"[979, 6469, 7902, 8114, 5302, 8272, 2117, 1765, 9682, 3437]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939870604939414, 0.9622379194969874, 0.9011871245472256, 0.8707604501387293, 0.8172789840033963, 0.7715608671052057, 0.7638153242544212, 0.6619944817564738, 0.5725267402119544, 0.5208126490718338]"
292,"[1926, 7225, 6533, 5218, 7019, 8934, 5967, 3200, 4003, 9766]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981953598229621, 0.9729957539400689, 0.9602378277710549, 0.9377836620778142, 0.9267669515444363, 0.8875876903604505, 0.8620656025838287, 0.8262275689366727, 0.746033778871829, 0.7236713471611143]"
293,"[1533, 4801, 1539, 9397, 1146, 3526, 7611, 8313, 2647, 5329]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9987559527026495, 0.9963313492214294, 0.9852756010563173, 0.953303246081616, 0.9221169300938425, 0.9203979741600674, 0.8963606299436908, 0.8553600755656124, 0.8397481735291887, 0.7946792923935464]"
294,"[2458, 6371, 4106, 4060, 127, 9884, 3128, 683, 767, 6496]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9933257463330261, 0.9735327718019445, 0.9484533752093269, 0.9085424598079677, 0.8654341654686617, 0.8312655174962614, 0.7498040263522623, 0.7060824875076792, 0.6734475298839907, 0.6283429839083774]"
295,"[8070, 7275, 7995, 6097, 9709, 7760, 820, 497, 1312, 7974]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987875066476488, 0.9966901128717991, 0.9942984142177063, 0.9772255055623921, 0.9690433970281607, 0.9487098379935995, 0.9134615454783317, 0.8354663845607526, 0.7738055881948127, 0.7552094216343876]"
296,"[3675, 9393, 9681, 8685, 6683, 9662, 6967, 9825, 4317, 2377]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981838638005993, 0.9969642453227789, 0.9917727589330504, 0.9690636302621487, 0.911032490969572, 0.8626531769988541, 0.8236813357001155, 0.7758405653622896, 0.7178720725387588, 0.6782962471328862]"
297,"[5402, 2967, 4613, 7370, 4930, 7673, 8639, 6293, 7916, 6004]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951963201007716, 0.9896178342648082, 0.9609685823656723, 0.896709890361951, 0.8502919107752824, 0.7589653187656225, 0.7578265432579994, 0.7181979983182358, 0.6836765297070341, 0.6429086452692613]"
298,"[7894, 5288, 4885, 9051, 733, 9596, 231, 7201, 5553, 3505]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.983833584586395, 0.9293472724622904, 0.8900680477568399, 0.8669974758562318, 0.8204494254350363, 0.7705002078853376, 0.7162933915622536, 0.6315076128003305, 0.5810202087641602, 0.5237291485736819]"
299,"[9751, 4016, 3140, 1833, 7649, 8939, 934, 3852, 2790, 6493]","[1, -1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9975938133879769, 0.9822462800590228, 0.9596821947815233, 0.953865887533679, 0.9005456750498166, 0.8567728973543545, 0.7918840915948533, 0.736880420186846, 0.7010101920413516, 0.6371063141361628]"
300,"[1392, 1091, 1307, 527, 8164, 5238, 509, 3081, 228, 4885]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975923633349043, 0.9964572894727608, 0.9935811752775534, 0.9869772141776092, 0.9550739187364721, 0.9380462100889609, 0.8640744405012855, 0.831528354776961, 0.7840902885013981, 0.7094358658504002]"
301,"[4588, 1853, 5788, 1363, 4750, 4285, 7802, 4370, 806, 2667]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9939780919554548, 0.9892049220959054, 0.9821975506347688, 0.9599223896417213, 0.9021077014105345, 0.857790206816837, 0.7962919990173227, 0.6740403045456574, 0.6114360414964262, 0.5601961940647359]"
302,"[3230, 7320, 9573, 1674, 2227, 9562, 3975, 35, 1068, 9490]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9940271755910902, 0.9731005425333307, 0.9503144773902052, 0.9244203777534938, 0.8858528580957334, 0.8575085086856673, 0.8475143159571839, 0.8033768119535091, 0.7828407090615019, 0.7521157840541118]"
303,"[7716, 853, 5160, 8578, 3892, 5127, 2203, 2828, 8617, 6277]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993948314913155, 0.9915836465830896, 0.9678536556174278, 0.9569127573145477, 0.9547239654271059, 0.9308879054493479, 0.9116014278724349, 0.8553212631978411, 0.8417764601798878, 0.7924155743508862]"
304,"[8023, 4486, 7364, 7079, 560, 4011, 1190, 4887, 7975, 4508]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9945898077865465, 0.9932925763163036, 0.9835237642671271, 0.9632654306960635, 0.9255529130421183, 0.8563054847464928, 0.8303481200901934, 0.7749609860393765, 0.6776808109270365, 0.5961800830982367]"
305,"[1810, 2139, 3916, 8127, 3679, 3745, 2691, 3031, 2743, 4280]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9880355809121232, 0.9600302045363125, 0.9475785615570691, 0.9245872901472918, 0.9063971632478224, 0.9117897413126216, 0.8922832888696787, 0.8584048349004717, 0.850024851124549, 0.8114966480475971]"
306,"[7074, 8296, 1223, 2224, 3289, 7971, 7880, 9729, 9911, 3955]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9874261719068244, 0.9653563941373817, 0.9501246310833842, 0.9283377776912907, 0.9003014099460034, 0.8625277494655587, 0.8271234783878744, 0.8013410766502764, 0.7416507689898792, 0.7266880613266054]"
307,"[8112, 6925, 5933, 4567, 1588, 9412, 7418, 4659, 1612, 9964]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9752295199344301, 0.9574700946752857, 0.9137832011283122, 0.8482720745471537, 0.8181050607659778, 0.7909384767942531, 0.7810247450241414, 0.7255795229935996, 0.630359964697788, 0.5751507507136956]"
308,"[8556, 5499, 6972, 9907, 622, 25, 3472, 2205, 8136, 6212]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993948332364104, 0.9945616370936445, 0.9984200467312253, 0.992893107465596, 0.9723810392770043, 0.9552964960472508, 0.9231137760604369, 0.8855216139165029, 0.827206204031363, 0.8296667169902885]"
309,"[4046, 4262, 5716, 722, 1640, 1468, 109, 256, 8874, 7362]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9946156461162664, 0.976210888704472, 0.9800112116845012, 0.976895696275592, 0.976895696279102, 0.9490136035286723, 0.9254725472328551, 0.9173687554370809, 0.8956009952908894, 0.87173054272741]"
310,"[8669, 6338, 9624, 5991, 8400, 6278, 3502, 9831, 550, 5970]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9896752004746996, 0.9808933745444949, 0.9695744328027498, 0.9469076273418446, 0.9235212642344572, 0.8979443537141706, 0.8521938570036898, 0.7957275950006477, 0.7975873051580273, 0.7531198197775566]"
311,"[551, 203, 641, 3185, 8498, 768, 3255, 1070, 7440, 5469]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963669682780125, 0.9934030758940016, 0.9962251454734854, 0.9894857829080175, 0.9861868115493928, 0.9613106622115404, 0.9223821757740319, 0.8565921572573889, 0.8412296971429389, 0.7998601711939313]"
312,"[66, 4453, 7502, 2489, 1255, 2555, 3322, 3523, 5216, 7401]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9939896051583018, 0.9873993880178773, 0.9784347997258191, 0.9820696579846874, 0.9765469916191369, 0.9730799877485259, 0.9720194015646568, 0.9335613181966167, 0.8903078700356002, 0.8435614615978816]"
313,"[6894, 1265, 1607, 3115, 8646, 8478, 9703, 7338, 2030, 1978]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9993977281023314, 0.994331925112192, 0.9835150674226371, 0.9729984936208086, 0.9576676361052244, 0.937636001499135, 0.8948140257648383, 0.8683787399949519, 0.8352256895699144, 0.7538015801522782]"
314,"[1387, 2742, 6988, 2840, 4971, 9118, 661, 9187, 8433, 4703]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9951977631698918, 0.9756941853329624, 0.9555937653809319, 0.8955616668097324, 0.849780843231511, 0.7872734366822731, 0.7265191179434043, 0.6305363951488834, 0.6069927998526213, 0.5866969092348941]"
315,"[9752, 4620, 9994, 5530, 6043, 1758, 167, 7213, 8394, 2313]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9952235506661927, 0.9920102606154042, 0.9708516415516482, 0.9524061669015136, 0.8998828448435328, 0.8784325815307106, 0.8533921624445076, 0.8057461860842456, 0.7394868714497476, 0.6959401799818384]"
316,"[6397, 3632, 5393, 2485, 9874, 8487, 4809, 5895, 5683, 2555]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9988019714038547, 0.9961386128063567, 0.9667392051162613, 0.9401850567604861, 0.9062833388915017, 0.8415777666241748, 0.753422690888033, 0.6211980732380258, 0.5985049466520408, 0.5428593953827412]"
317,"[4886, 5673, 9931, 7198, 1189, 9771, 7313, 4331, 4676, 941]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963957882783739, 0.9898598463111277, 0.9772300712218236, 0.961631643201947, 0.940337158852081, 0.9274910500066329, 0.9195522970866926, 0.8965210995969236, 0.8608378220079974, 0.8324843727797198]"
318,"[7277, 959, 8053, 3769, 3744, 7341, 5071, 892, 3882, 4151]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9897983699208708, 0.9826665439925616, 0.9597783930583137, 0.9334204746360832, 0.8838075537015689, 0.813436489719678, 0.7788003859055418, 0.7325380712903692, 0.6769763207809709, 0.6253391079834004]"
319,"[9375, 4966, 5768, 5783, 748, 1144, 7932, 4762, 7569, 2445]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9987961816678207, 0.9915887649346693, 0.9831065844459312, 0.9688493422537847, 0.9724442214426533, 0.9525795427265287, 0.9338772781503788, 0.9033709389826867, 0.8555971662061125, 0.8394724837776257]"
320,"[7062, 8181, 9729, 9372, 5842, 6652, 681, 2163, 1777, 8939]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9701965586600743, 0.9277619789204966, 0.9070611100780995, 0.8921245247039359, 0.8412095956067831, 0.8062585084171926, 0.7689330674666066, 0.7353888832527955, 0.6772271048071357, 0.6359431475036912]"
321,"[6082, 5281, 9566, 9706, 8928, 6949, 4010, 7560, 7482, 2999]","[1, 1, 1, 1, -1, 1, -1, 1, 1, 1]","[1.0, 0.9964000757564981, 0.9685219427657864, 0.9237292419438293, 0.8771456940187945, 0.8229571595402441, 0.7687283473424238, 0.7087195160915607, 0.7056129915763621, 0.6408459678965506, 0.6049601833255375]"
322,"[4907, 3763, 1362, 4494, 2333, 5202, 1289, 8994, 2499, 8970]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963943417193287, 0.9899024537051899, 0.9698784508923084, 0.9578723896583405, 0.95183895439784, 0.9318753914267415, 0.8894337879484115, 0.8770155918815365, 0.8433387592308568, 0.7803471861383018]"
323,"[3304, 7384, 1062, 5308, 7308, 3529, 2788, 2806, 4671, 5479]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1.0, 0.9969929915422979, 0.9838449242688386, 0.9849956444234702, 0.971587358486826, 0.9432361628683201, 0.9073551612027039, 0.8693255575352437, 0.8401108789215247, 0.831114111659659, 0.776752707832586]"
324,"[4232, 194, 4443, 1751, 6324, 8560, 6669, 984, 8815, 4368]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.990344016100867, 0.979998394215956, 0.97942945071414, 0.9524226455213876, 0.9147157424184869, 0.8782539106254276, 0.8554402163236113, 0.788308223492487, 0.7144699783634423, 0.6331907522012926]"
325,"[348, 3817, 4324, 4216, 2405, 9825, 7077, 3460, 7337, 566]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.991612205759161, 0.9927080243187669, 0.9668351950843919, 0.9377550588049477, 0.8987761789270461, 0.8650428991203729, 0.8156751399811344, 0.7172208578184545, 0.6767810171102355, 0.5730648698249408]"
326,"[504, 3895, 5649, 7814, 17, 2372, 7069, 9776, 1163, 4798]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9915219761019263, 0.9761108594660635, 0.9491222239803435, 0.9395840959863562, 0.8791331316467336, 0.8428220896094641, 0.7951164373891635, 0.7491289554781749, 0.6719247996355595, 0.6097407065114596]"
327,"[4313, 4004, 8523, 2333, 6655, 6322, 8955, 8680, 8045, 9982]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9975923633358581, 0.9951363205498173, 0.9799010856286963, 0.9747256916177349, 0.9524323686211142, 0.9272465851947094, 0.9116790951863146, 0.8671863943727394, 0.8521273849941653, 0.7973492249916139]"
328,"[4868, 7898, 6091, 1046, 469, 2087, 7533, 5220, 3817, 5795]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1.0, 0.9987818114338837, 0.9838559499802753, 0.9787720908813988, 0.9679005219332307, 0.8988971951159155, 0.8667863333786106, 0.7790848068840652, 0.7008231934500431, 0.7003923313122392, 0.6603225255863054]"
329,"[216, 8568, 7281, 3384, 5243, 2371, 5320, 4343, 6685, 9831]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963943417177554, 0.9939321968130216, 0.9771747597461438, 0.9608185243041907, 0.9268338423023876, 0.9122367675134708, 0.8982716693420587, 0.8070868068774318, 0.7948928597138423, 0.7348200034044354]"
330,"[9511, 4133, 3247, 8009, 8877, 5166, 8507, 5312, 6320, 1337]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9945769390060235, 0.9796479823601743, 0.9468632639470604, 0.9323672237143834, 0.9216548319836668, 0.8921891111679394, 0.8699983842288049, 0.832172588892172, 0.8142416836222601, 0.7349629885748645]"
331,"[7187, 2931, 6237, 4254, 3206, 4308, 684, 2407, 8833, 9929]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.98745508637703, 0.9760593356925803, 0.948873136911428, 0.9281195920390064, 0.9269637977202625, 0.901187723861224, 0.8691712336217678, 0.8057320123142326, 0.7752009702916661, 0.7175723778563254]"
332,"[7026, 963, 8653, 8510, 4458, 8079, 1398, 9339, 3520, 5488]","[1, 1, 1, 1, 1, 1, -1, 1, 1, -1]","[1.0, 0.9981982553266958, 0.9872536337648032, 0.9776590021310434, 0.9779550291503348, 0.9535818663073673, 0.9184364463470847, 0.8826102321232399, 0.784084615111345, 0.7189153174706534, 0.6670984041956147]"
333,"[1369, 1314, 8261, 8671, 2216, 3530, 2870, 2617, 4725, 6086]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9904087548637847, 0.9664276325811167, 0.9183408716745883, 0.8823023817685258, 0.8262862291146131, 0.7360935437194153, 0.6443360038188362, 0.6137352208673039, 0.5824658577837962, 0.5336975038160456]"
334,"[3720, 9239, 2866, 9114, 3020, 86, 6968, 1351, 3684, 8636]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987961816685205, 0.99808605254992, 0.9866523174620699, 0.9744556080968458, 0.9467151200584839, 0.9338236474182149, 0.9150753546971475, 0.8591683886155812, 0.8317056979174242, 0.7538424028521261]"
335,"[8692, 9147, 8840, 8091, 4017, 5358, 1766, 363, 4708, 198]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9844314040343451, 0.9512978529910431, 0.9409624452013149, 0.913886002590518, 0.896816697033632, 0.8663580451879458, 0.8505266146133068, 0.7747208923457467, 0.7382396383230467, 0.6869481850455293]"
336,"[7859, 7442, 7446, 442, 9244, 746, 4065, 4189, 1576, 9660]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9946372774633809, 0.9910588966030436, 0.9755444835783562, 0.9652686418391524, 0.9393828587379126, 0.9076161015197765, 0.8471354332993927, 0.8204999348005056, 0.7633707368173658, 0.7190455615898632]"
337,"[7612, 5290, 8370, 5147, 1429, 8224, 8118, 5575, 2909, 2298]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9969938765499418, 0.9965821107385124, 0.9937385106465373, 0.9785650266350864, 0.9686348051541789, 0.9340617731495302, 0.9255552452892344, 0.8821391710517752, 0.7959625104010215, 0.7592552916762201]"
338,"[1878, 8174, 6250, 4534, 2373, 7565, 5812, 2706, 9099, 6097]","[1, 1, -1, -1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9969886673761352, 0.9940355384827945, 0.9765004383532795, 0.9128222122140596, 0.8957795243346037, 0.8485354865556693, 0.7921062820869967, 0.7285691294734435, 0.6994009677048142, 0.6107676747790531]"
339,"[2174, 1177, 4668, 8325, 7843, 1562, 2158, 4031, 5180, 776]","[1, 1, -1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.982759039199843, 0.9683031505598418, 0.9635629143287868, 0.9357729305091238, 0.8940071477190433, 0.8759862234145709, 0.8646421931717378, 0.8168131329759105, 0.7555453996077343, 0.6282738362442928]"
340,"[9487, 9712, 4798, 5341, 6415, 4081, 1542, 3974, 5446, 8760]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9886794540654793, 0.9615920995926539, 0.9100846204729884, 0.8871498302574736, 0.8547123726671872, 0.783060472076904, 0.7445766267419097, 0.6639886570639612, 0.5423033527583702, 0.5391481637019737]"
341,"[2827, 4071, 6760, 8549, 300, 7975, 1122, 8841, 3661, 599]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9731382404735176, 0.9678683639542246, 0.942866172283692, 0.875868060289928, 0.8645055068582969, 0.7843892329175476, 0.7298413007519382, 0.6928516514994798, 0.6397351893416918, 0.639735189342187]"
342,"[3577, 4878, 4953, 9694, 2139, 3974, 8184, 6544, 381, 1919]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9921742915880825, 0.9754686101784298, 0.9458518657754751, 0.9154061071623276, 0.8591768602276519, 0.7969036795418856, 0.7609236830934709, 0.7142496916527868, 0.6938775066636168, 0.6081859668759965]"
343,"[3431, 2598, 9256, 2714, 831, 3711, 9646, 6688, 3916, 4716]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987961816671311, 0.9891714769011093, 0.976651194941097, 0.9261036346405407, 0.9057469354791023, 0.8872067118583353, 0.8335883358950262, 0.7891219641812799, 0.75408992273601, 0.6743690244120318]"
344,"[9397, 2564, 324, 4330, 7054, 9591, 4606, 5843, 4364, 9609]","[1, 1, 1, 1, -1, -1, 1, 1, 1, 1]","[1.0, 0.9897762210403911, 0.9613986544145179, 0.9145982361685889, 0.8676077695210026, 0.8318382459763515, 0.16440054267965448, 0.23798829882904704, 0.32858143174974686, 0.4053122899788854, 0.46899002134601825]"
345,"[9076, 6460, 9987, 3700, 7790, 6602, 6404, 2617, 8908, 2848]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9933467261899648, 0.984092087627745, 0.9670514407472982, 0.9581059344670142, 0.9379763680473381, 0.9011168522788827, 0.8415451614950104, 0.8036136030117065, 0.7591821419529894, 0.7591821419533112]"
346,"[6222, 4802, 2048, 4129, 5421, 3020, 7306, 3426, 4203, 9635]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963541911552138, 0.9819092027700731, 0.9443283372678108, 0.907494399860332, 0.8948062087047197, 0.8469571021161462, 0.8150718729698644, 0.7793210634288019, 0.749291458473673, 0.720754687292726]"
347,"[1199, 990, 6155, 671, 3474, 8945, 9502, 8587, 2791, 3277]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963957466708764, 0.9946308154020448, 0.989539777746325, 0.9635346395254488, 0.9507721434122003, 0.9567473446425814, 0.8849376966615877, 0.8539780545900808, 0.8206783509673049, 0.7705180439197195]"
348,"[7173, 5337, 3019, 605, 9421, 5839, 9356, 9591, 8276, 5985]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9970204636912756, 0.9679009653546398, 0.9647771026385166, 0.915875048336223, 0.9042868193628725, 0.8635399001681092, 0.7987268579321283, 0.20179674303484818, 0.2176363086705485, 0.22017540341662595]"
