snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.399999999999999911e+00,9.796035032177401458e-01
4.799999999999999822e+00,9.164155187854152729e-01
7.199999999999999289e+00,8.014140864938676945e-01
9.599999999999999645e+00,6.864285028132557365e-01
1.200000000000000000e+01,6.643475470913361436e-01
1.439999999999999858e+01,4.375867335248516121e-01
1.680000000000000071e+01,3.850190639371593448e-01
1.919999999999999929e+01,3.336889481636984289e-01
2.159999999999999787e+01,2.943399496961352502e-01
2.400000000000000000e+01,2.622716055972205140e-01
