Time,Cost
0.0,[4.7 5.8 6.8 6.5 6.4 6.8 6.7 6.9 6.8 7. ]
1.0,"[Decimal('89702.4') Decimal('136396.8') Decimal('167116.8')
 Decimal('159744') Decimal('157286.4') Decimal('167116.8')
 Decimal('164659.2') Decimal('169574.4') Decimal('167116.8')
 Decimal('172032')]"
