snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
5.000000000000000000e+00,9.519379832595086244e-01
1.000000000000000000e+01,8.935978971636326929e-01
1.500000000000000000e+01,8.119261401152999547e-01
2.000000000000000000e+01,7.496013429827416141e-01
2.500000000000000000e+01,6.371854188560533983e-01
3.000000000000000000e+01,5.145675393979268764e-01
3.500000000000000000e+01,4.564123249771164237e-01
4.000000000000000000e+01,4.389118070415892192e-01
4.500000000000000000e+01,4.182522096138162060e-01
5.000000000000000000e+01,3.990893931136250128e-01
