x,y,z
1.0,12.0,48444211200
1.1,12.0,50059018240
1.2,12.0,62746787840
1.3,12.0,62746787840
1.4,12.0,62746787840
1.5,13.0,73973541546.66666666666666667
1.6,13.666666666666666,82180396373.33333333333333333
1.7000000000000002,14.333333333333334,103739118933.3333333333333333
1.8,14.333333333333334,103739118933.3333333333333333
1.9,15.0,117440512000
2.0,15.0,120376524800
2.1,16.666666666666668,146800640000
2.2,17.0,160432128000
2.3,18.0,173644185600
2.4000000000000004,18.0,177419059200
2.5,19.0,195510490453.3333333333333333
2.6,19.0,204010946560
2.7,19.666666666666668,211169225386.6666666666666667
2.8,20.333333333333332,218327504213.3333333333333333
2.9000000000000004,21.333333333333332,229064922453.3333333333333333
