snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.818913414185653776e-01
4.000000000000000222e-01,9.472426875324448936e-01
6.000000000000000888e-01,9.302377182162699931e-01
8.000000000000000444e-01,9.384397052293954600e-01
1.000000000000000000e+00,9.496660183803714572e-01
1.200000000000000178e+00,9.493072880827223559e-01
1.400000000000000133e+00,9.477821417636194123e-01
1.600000000000000089e+00,9.549350421542087686e-01
1.800000000000000044e+00,9.584763644797593685e-01
2.000000000000000000e+00,9.424214283489196209e-01
