Time,Cost
0.0,[5.1 6.2 6.6 6.9 8.3 8.4 8.6 9.2 9.5 9.6]
1.0,"[Decimal('2.366920401029790580327687635E+100')
 Decimal('6.598854980532617762122252677E+103')
 Decimal('5.504652205311076844505928486E+105')
 Decimal('2.004299348493781963129297133E+107')
 Decimal('2.076657183082914172025440168E+112')
 Decimal('8.175691537070785617288262992E+111')
 Decimal('4.220734521921568774273269424E+113')
 Decimal('1.190593711408617867309279381E+120')
 Decimal('3.033765421954894474037859585E+122')
 Decimal('3.798615860101972285408009557E+123')]"
