x,y,z
0.1,3,59719680
0.2,4,159252480
0.30000000000000004,5,331776000
0.4,5,921600000
0.5,6,1843200000
0.6,7,4954521600
0.7000000000000001,8,10569646080
0.8,9,20808990720
0.9,10,29360128000
1.0,11,32296140800
