snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.799887498391475216e-01
4.000000000000000222e-01,9.215831831127996310e-01
6.000000000000000888e-01,8.294835918596865643e-01
8.000000000000000444e-01,7.110586122649076302e-01
1.000000000000000000e+00,5.757712981520919371e-01
1.200000000000000178e+00,4.344411481439636735e-01
1.400000000000000133e+00,2.983558566731670525e-01
1.600000000000000089e+00,1.783541684928678372e-01
1.800000000000000044e+00,8.401827904274616898e-02
2.000000000000000000e+00,2.295373737625877597e-02
