snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,9.999999249659867750e-01
4.000000000000000222e-01,9.969732006953531123e-01
6.000000000000000888e-01,9.879914743440425529e-01
8.000000000000000444e-01,9.731684422735358275e-01
1.000000000000000000e+00,9.526945038493410678e-01
1.200000000000000178e+00,9.268203031965127625e-01
1.400000000000000133e+00,8.958439970938445462e-01
1.600000000000000089e+00,8.601283458724825470e-01
1.800000000000000044e+00,8.201161319048093645e-01
2.000000000000000000e+00,7.763037075043517365e-01
