Time,Cost
0.0,[ 8.6  9.9 10.6 11.6 11.9 12.3 13.2 13.5 14.3 14.6]
1.0,"[Decimal('13401587712') Decimal('25435045888') Decimal('31953453056')
 Decimal('43053875200') Decimal('48036380672') Decimal('52416544768')
 Decimal('56685690880') Decimal('62228332544') Decimal('71080411136')
 Decimal('79494643712')]"
