x,y,z,l
0.26,0.9949256468557452,5,51375
0.52,0.9796256946604585,7,278173
0.78,0.9537372236811233,10,1211000
1.04,0.916465415587367,12,2783808
1.3,0.8667826717645961,12,3475008
1.56,0.8041692127630629,14,6615784
1.82,0.7296806682489227,16,11513856
2.08,0.6467692474001416,19,22024249
2.34,0.5612755505402988,20,28888000
2.6,0.4803903212345024,21,37145871
