snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,9.999999249659867750e-01
5.999999999999999778e-01,9.932214107587304941e-01
8.999999999999999112e-01,9.731684884566117466e-01
1.199999999999999956e+00,9.404156860444148336e-01
1.500000000000000000e+00,8.958430443715535985e-01
1.799999999999999822e+00,8.406274553550505679e-01
2.100000000000000089e+00,7.763067261615571590e-01
2.399999999999999911e+00,7.045833140554622620e-01
2.699999999999999734e+00,6.273110055415889175e-01
3.000000000000000000e+00,5.466050664218129462e-01
