snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,9.999324709064094652e-01
5.999999999999999778e-01,9.918264130290932457e-01
8.999999999999999112e-01,9.701192315471853789e-01
1.199999999999999956e+00,9.346378319567822945e-01
1.500000000000000000e+00,8.854896268573055895e-01
1.799999999999999822e+00,8.235680698026557334e-01
2.100000000000000089e+00,7.510134740188629809e-01
2.399999999999999911e+00,6.714354261751935837e-01
2.699999999999999734e+00,5.897564377873449892e-01
3.000000000000000000e+00,5.116558365482618553e-01
