x,y
0.0,0
0.1,3
0.2,4
0.30000000000000004,5
0.4,5
0.5,6
0.6000000000000001,6
0.7000000000000001,6
0.8,7
0.9,8
1.0,10
1.1,10
1.2000000000000002,11
1.3,12
1.4000000000000001,12
1.5,13
1.6,15
1.7000000000000002,13
1.8,15
1.9000000000000001,15
2.0,17
2.1,17
2.2,19
2.3000000000000003,19
2.4000000000000004,19
2.5,21
2.6,22
2.7,23
2.8000000000000003,24
2.9000000000000004,25
3.0,25
3.1,27
3.2,30
3.3000000000000003,32
3.4000000000000004,31
3.5,32
3.6,35
3.7,37
3.8000000000000003,36
3.9000000000000004,36
4.0,38
