snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
5.000000000000000000e-01,9.811591933731171888e-01
1.000000000000000000e+00,9.240250452050862151e-01
1.500000000000000000e+00,8.293415650239019943e-01
2.000000000000000000e+00,7.049194742239408562e-01
2.500000000000000000e+00,5.691378218645055664e-01
3.000000000000000000e+00,4.474578596345352155e-01
3.500000000000000000e+00,3.627551530687833092e-01
4.000000000000000000e+00,3.259839259397486755e-01
4.500000000000000000e+00,3.335793339311568517e-01
5.000000000000000000e+00,3.720193625477702382e-01
