snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000222e-01,9.879580762713711106e-01
8.000000000000000444e-01,9.515109926262368401e-01
1.200000000000000178e+00,8.904226308255041022e-01
1.600000000000000089e+00,8.063759450088705538e-01
2.000000000000000000e+00,7.048925030341953724e-01
2.400000000000000355e+00,5.959989995800665241e-01
2.800000000000000266e+00,4.927929549436621537e-01
3.200000000000000178e+00,4.082299531100810341e-01
3.600000000000000089e+00,3.515580070332212648e-01
4.000000000000000000e+00,3.260915469181567272e-01
