snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
1.000000000000000000e+01,9.127228650325076575e-01
2.000000000000000000e+01,7.302569742407611919e-01
3.000000000000000000e+01,5.265598623693448221e-01
4.000000000000000000e+01,4.613584165179127616e-01
5.000000000000000000e+01,4.220819843295350315e-01
6.000000000000000000e+01,4.220975219397514189e-01
7.000000000000000000e+01,4.573217324457102828e-01
8.000000000000000000e+01,4.836113658309809660e-01
9.000000000000000000e+01,5.030032876867241987e-01
1.000000000000000000e+02,5.050756402449817495e-01
