x,y,z
0.1,3,59719680
0.2,4,159252480
0.3,6,1474560000
0.4,6,1105920000
0.5,7,4128768000
0.6,8,10789847040
0.7,10,23121100800
0.7999999999999999,11,25433210880
0.8999999999999999,12,44040192000
0.9999999999999999,12,53288632320
1.0999999999999999,12,53288632320
1.2,12,66437775360
1.3,13,71974256640
1.4,13,71974256640
1.5,14,91603599360
1.5999999999999999,15,114504499200
1.7,15,114504499200
1.8,16,140928614400
1.9,17,160432128000
2.0,18,169869312000
2.0999999999999996,19,179306496000
2.1999999999999997,19,179306496000
2.3,20,214748364800
2.4,21,225485783040
2.5,21,225485783040
2.6,22,236223201280
2.6999999999999997,22,236223201280
2.8,23,246960619520
2.9,23,246960619520
3.0,24,257698037760
3.0999999999999996,25,268435456000
3.1999999999999997,25,268435456000
3.3,26,279172874240
3.4,26,279172874240
3.5,27,289910292480
3.5999999999999996,28,300647710720
3.6999999999999997,29,311385128960
3.8,30,322122547200
3.9,30,322122547200
4.0,30,322122547200
