Time,Cost
0.0,3462.4
0.010526315789473684,24806.4
0.021052631578947368,4968518.4
0.031578947368421054,21457529.6
0.042105263157894736,117326572.8
0.05263157894736842,30477312.0
0.06315789473684211,15553420.8
0.07368421052631578,4550656.0
0.08421052631578947,1255200.0
0.09473684210526316,7793382.4
0.10526315789473684,18970841.6
0.11578947368421053,2135411.2
0.12631578947368421,2321740.8
0.1368421052631579,2401529.6
0.14736842105263157,366956166.4
0.15789473684210525,2863001.6
0.16842105263157894,3094982.4
0.17894736842105263,4003296.0
0.18947368421052632,5598771.2
0.2,25269574.4
