snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
1.000000000000000056e-01,9.992008121098043816e-01
2.000000000000000111e-01,9.962530333973791397e-01
3.000000000000000444e-01,9.898461352086618259e-01
4.000000000000000222e-01,9.787489503154225279e-01
5.000000000000000000e-01,9.626202541138544344e-01
6.000000000000000888e-01,9.422904539813132807e-01
7.000000000000000666e-01,9.194340223755188557e-01
8.000000000000000444e-01,8.960217713561413611e-01
9.000000000000000222e-01,8.740029884667095406e-01
1.000000000000000000e+00,8.552611100153761914e-01
