x,y,z
2.0,19.3,190773723136
2.1,20.5,220117073920
2.2,21.5,230854492160
2.3,22.2,238370684928
2.4,22.7,243739394048
2.5,23.4,251255586816
2.6,24.4,261993005056
2.7,24.9,267361714176
2.8,25.4,272730423296
2.9,26.3,282394099712
