x,y,z,l
1.0,2,10737418240,808
2.0,16,2086607779353298206720000,741376
3.0,43,1572382873382213225614934016000,20751327
4.0,72,419937369500232420768671072256000,127277568
5.0,125,25008653087127543623520249446400000,822265625
6.0,192,293183383751474505634314977280000000,3546021888
7.0,267,1334837248593295196912450607985459200,11058848703
8.0,350,3430645176138096277009372515663872000,28340375000
9.0,434,6505750358184338109365021265258086400,60574159464
10.0,525,10303424774058801264541475606102016000,118801265625
