x,y,z,l
0.2,4,14444082726174720,103744
0.4,5,118881339310080000,402625
0.6000000000000001,6,15655155793920000000,1041336
0.8,7,1504147629599096832000,2202403
1.0,10,36373183961943873945600,8021000
1.2,11,273395378722701312000000,12805551
1.4000000000000001,12,1344237341478475530240000,19389888
1.6,15,20736831710630183436288000,43270875
1.8,15,33852872203357850173440000,48670875
2.0,17,96484024327124444774400000,78711173
2.2,19,225895362873579672698880000,120862439
2.4000000000000004,19,789702575111118300119040000,131836839
2.6000000000000005,22,3110224566218522263289856000,221702008
2.8000000000000003,24,10325928805156609751148134400,309947904
3.0000000000000004,25,26594331415950152171520000000,375328125
3.2,30,90858943325707355645647257600,691767000
3.4000000000000004,31,218050661902777250066989056000,810940811
3.6000000000000005,35,530232119289025546892083200000,1235700375
3.8000000000000003,36,836763105245142233666027520000,1419322176
4.0,38,1981632381561352686896414720000,1757056312
4.2,41,3789106747095850972632789811200,2317192941
4.4,43,5741574752765332212185825280000,2800316047
4.6000000000000005,48,14491586986309249982182667059200,4072108032
4.800000000000001,51,25856759264184993007166658969600,5096584071
5.000000000000001,54,42741640828012573884371372605440,6301866744
5.2,57,72227051907047089040365977600000,7707917853
5.4,63,135423129523521163125990201753600,10807281387
5.6000000000000005,66,180977803566163785871107513384960,12885858216
5.800000000000001,72,327409329722657522663809666252800,17326545408
6.000000000000001,78,535725216588390151220554440376320,22788461592
6.2,83,871079192779620417426042126336000,28372642727
6.4,91,1599799659109978861094039369809920,38598660191
6.6000000000000005,94,1936589872347061120923095531520000,43872277464
6.800000000000001,98,2950443409579290985188311433216000,51220609832
7.000000000000001,104,4684572387213516239459221241856000,63016006144
7.2,107,5595105746522198812010766925824000,70588202703
7.4,108,6487997354548635283529033318400000,74601404352
7.6000000000000005,116,11425389035405956522147858203279360,94935255616
7.800000000000001,118,12754424064673124970819408101376000,102559700472
8.0,119,15868387494698385008193396843479040,107885564339
8.2,124,20293883645724913292987964221030400,125114573504
8.4,129,25167307084300393117590047057510400,144302581269
8.6,131,29324704176165121025523056640000000,154715870711
8.799999999999999,136,37777162864472678740470949478400000,177140926976
9.0,140,44821941709077067371360603340800000,197625624000
9.2,144,54354439785005963330968594730188800,219831128064
9.4,148,63882100149552695347011353082593280,243850836032
9.6,150,65623905914974778985585573888000000,259270875000
9.8,154,80806344952830588158483227056537600,286414195144
10.0,158,91820855332708711453875461160960000,315627790552
