Time,Cost
0.0,7.9
0.1111111111111111,11.2
0.2222222222222222,14.9
0.3333333333333333,19.3
0.4444444444444444,23.7
0.5555555555555556,27.4
0.6666666666666666,29.7
0.7777777777777777,30.2
0.8888888888888888,31.0
1.0,31.3
