x,y,errorbars
0.0,1.0,0.0
0.1,0.9991703503762912,0.00010553624111286489
0.2,0.9968188416354895,0.0002743276600924859
0.30000000000000004,0.9930338376826855,0.0005493659696687331
0.4,0.9877853236272696,0.0007859687555742608
0.5,0.981035361441202,0.0011136576279666736
0.6000000000000001,0.9728609513969946,0.0011030691369571294
0.7000000000000001,0.9636927548505698,0.0015707908141074803
0.8,0.9533195468021003,0.0018925532231218471
0.9,0.9418488932532748,0.0021605108598204237
1.0,0.9297731909965326,0.002307601115135035
