x,y,z
0.1,4,283115520
0.2,6,1415577600
0.3,7,2890137600
0.4,8,4404019200
0.5,9,13589544960
0.6,11,31791513600
0.7,11,38856294400
0.7999999999999999,13,62977474560
0.8999999999999999,14,91603599360
0.9999999999999999,15,106325606400
1.0999999999999999,17,129771765760
1.2,17,129771765760
1.3,19,156195880960
1.4,20,188743680000
1.5,22,207618048000
1.5999999999999999,23,231525580800
1.7,24,257698037760
1.8,25,268435456000
1.9,25,268435456000
2.0,25,268435456000
2.0999999999999996,27,289910292480
2.1999999999999997,27,289910292480
2.3,28,300647710720
2.4,29,311385128960
2.5,29,311385128960
2.6,29,311385128960
2.6999999999999997,29,311385128960
2.8,30,322122547200
2.9,30,322122547200
3.0,30,322122547200
3.0999999999999996,30,322122547200
3.1999999999999997,30,322122547200
3.3,31,332859965440
3.4,31,332859965440
3.5,31,332859965440
3.5999999999999996,31,332859965440
3.6999999999999997,32,343597383680
3.8,31,332859965440
3.9,31,332859965440
4.0,32,343597383680
