Time,Cost
0.0,4.0
0.010101010101010102,4.0
0.020202020202020204,4.0
0.030303030303030304,4.0
0.04040404040404041,4.0
0.05050505050505051,4.0
0.06060606060606061,5.0
0.07070707070707072,5.0
0.08080808080808081,7.0
0.09090909090909091,6.0
0.10101010101010102,5.0
0.11111111111111112,6.0
0.12121212121212122,6.0
0.13131313131313133,6.0
0.14141414141414144,6.0
0.15151515151515152,5.0
0.16161616161616163,6.0
0.17171717171717174,6.0
0.18181818181818182,6.0
0.19191919191919193,6.0
0.20202020202020204,6.0
0.21212121212121213,6.0
0.22222222222222224,6.0
0.23232323232323235,6.0
0.24242424242424243,6.0
0.25252525252525254,6.0
0.26262626262626265,7.0
0.27272727272727276,7.0
0.2828282828282829,7.0
0.29292929292929293,7.0
0.30303030303030304,7.0
0.31313131313131315,7.0
0.32323232323232326,7.0
0.33333333333333337,7.0
0.3434343434343435,8.0
0.3535353535353536,8.0
0.36363636363636365,8.0
0.37373737373737376,8.0
0.38383838383838387,8.0
0.393939393939394,8.0
0.4040404040404041,8.0
0.4141414141414142,8.0
0.42424242424242425,8.0
0.43434343434343436,8.0
0.4444444444444445,8.0
0.4545454545454546,9.0
0.4646464646464647,9.0
0.4747474747474748,9.0
0.48484848484848486,9.0
0.494949494949495,9.0
0.5050505050505051,9.0
0.5151515151515152,9.0
0.5252525252525253,9.0
0.5353535353535354,9.0
0.5454545454545455,9.0
0.5555555555555556,9.0
0.5656565656565657,9.0
0.5757575757575758,9.0
0.5858585858585859,9.0
0.595959595959596,9.0
0.6060606060606061,9.0
0.6161616161616162,9.0
0.6262626262626263,9.0
0.6363636363636365,9.0
0.6464646464646465,9.0
0.6565656565656566,9.0
0.6666666666666667,9.0
0.6767676767676768,9.0
0.686868686868687,9.0
0.696969696969697,9.0
0.7070707070707072,9.0
0.7171717171717172,10.0
0.7272727272727273,11.0
0.7373737373737375,11.0
0.7474747474747475,11.0
0.7575757575757577,11.0
0.7676767676767677,11.0
0.7777777777777778,11.0
0.787878787878788,11.0
0.797979797979798,11.0
0.8080808080808082,11.0
0.8181818181818182,11.0
0.8282828282828284,11.0
0.8383838383838385,11.0
0.8484848484848485,11.0
0.8585858585858587,11.0
0.8686868686868687,11.0
0.8787878787878789,11.0
0.888888888888889,11.0
0.8989898989898991,11.0
0.9090909090909092,11.0
0.9191919191919192,11.0
0.9292929292929294,11.0
0.9393939393939394,11.0
0.9494949494949496,11.0
0.9595959595959597,11.0
0.9696969696969697,11.0
0.9797979797979799,11.0
0.98989898989899,11.0
1.0,11.0
