x,y,errorbars
0.01,0.9999769400212923,1.8250771915885727e-05
0.02,0.9999294177099806,3.0704839437956066e-05
0.03,0.9998865981897505,5.664834459671298e-05
0.04,0.9998094320786712,8.24026403628488e-05
0.05,0.9996791388729133,0.00017046000835197362
0.060000000000000005,0.9995587067263572,0.0001696025563542344
0.06999999999999999,0.9994105779587674,0.00023059741618396498
0.08,0.9993281153902762,0.00024570369641050994
0.09,0.9991729267843816,0.00032233429475075675
0.09999999999999999,0.9990795807475046,0.0003385397392715919
0.11,0.9989079756462468,0.00031853748024885834
0.12,0.9987300067700335,0.000248518239641009
0.13,0.9985322834806325,0.00044150964462593404
0.14,0.998315871532084,0.000491939491900046
0.15000000000000002,0.9980923441528577,0.0006197567524758968
0.16,0.9978431850258737,0.0005814952660849438
0.17,0.9976315003749756,0.0006965067061027231
0.18000000000000002,0.9973064832288184,0.0006178661909263343
0.19,0.9970922225651581,0.0006691810444275563
0.2,0.9969599484876532,0.0006846171333825876
