snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000222e-01,9.879589620461067812e-01
8.000000000000000444e-01,9.515135523426232478e-01
1.200000000000000178e+00,8.904255607232818281e-01
1.600000000000000089e+00,8.063758073904958579e-01
2.000000000000000000e+00,7.048851075670887756e-01
2.400000000000000355e+00,5.959816789584952978e-01
2.800000000000000266e+00,4.927660336465589097e-01
3.200000000000000178e+00,4.081965184433046789e-01
3.600000000000000089e+00,3.515225074883940870e-01
4.000000000000000000e+00,3.260581849208192828e-01
