x,y,z
0.0,8.666666666666666,11827937280
0.1,10.0,28057272320
0.2,10.666666666666666,33397145600
0.30000000000000004,10.666666666666666,37954082133.33333333333333333
0.4,11.666666666666666,46694836906.66666666666666667
0.5,12.0,53288632320
0.6000000000000001,13.333333333333334,59142307840
0.7000000000000001,13.0,64885882880
0.8,14.666666666666666,77510737920
0.9,14.666666666666666,89359646720
1.0,15.666666666666666,111414695253.3333333333333333
1.1,16.333333333333332,115958524586.6666666666666667
1.2000000000000002,16.666666666666668,127422955520
1.3,17.0,143920551253.3333333333333333
1.4000000000000001,17.666666666666668,152295178240
1.5,19.0,171337318400
1.6,20.0,180355072000
1.7000000000000002,20.333333333333332,183500800000
1.8,21.0,202584883200
1.9000000000000001,21.666666666666668,213490073600
2.0,22.666666666666668,228170137600
2.1,23.0,231525580800
2.2,23.333333333333332,234881024000
2.3000000000000003,24.333333333333332,244947353600
2.4000000000000004,25.0,268435456000
2.5,26.0,279172874240
2.6,27.0,289910292480
2.7,27.333333333333332,293489431893.3333333333333333
2.8000000000000003,28.666666666666668,307805989546.6666666666666667
2.9000000000000004,29.0,311385128960
