x,y
0.1,0.9992501033300947
0.2,0.9970051919625791
0.3,0.9932776193168434
0.4,0.9880824264208321
0.5,0.9814303763077187
0.6,0.9733202900037139
0.7,0.9637323932989852
0.7999999999999999,0.9526242889434338
0.8999999999999999,0.9399308001578541
0.9999999999999999,0.925568332322279
1.0999999999999999,0.9094436869572091
1.2,0.8914665522851805
1.3,0.8715643070504087
1.4,0.8496973973177289
1.5,0.8258734400386202
1.5999999999999999,0.8001583754249304
1.7,0.7726833957723424
1.8,0.7436469411425244
1.9,0.7133116721754281
2.0,0.6819969040826896
2.0999999999999996,0.6500674265101446
2.1999999999999997,0.6179198883872655
2.3,0.5859679824392879
2.4,0.5546275433418426
2.5,0.5243024301758902
2.6,0.495371764639004
2.6999999999999997,0.4681788087372055
2.8,0.4430215433440132
2.9,0.4201448841121493
3.0,0.3997344520567441
