run,indices,signs,weights,results
1,"[20, 37, 89, 69, 76, 56, 95, 13, 5, 22]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.0065460870063327, 1.009777105023837, 1.0107579075207307, 1.0078521026346825, 1.0001416507481165, 0.987316471162091, 0.9733039976456326, 0.956057684528343, 0.9333791278257028, 0.9126266502520856]"
2,"[35, 77, 0, 40, 6, 24, 18, 13, 12, 70]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.0062122118874994, 1.0101800702046086, 1.011640157054224, 1.0090292124707874, 0.9992360987918156, 0.9888060115375499, 0.9748938613796879, 0.9635694543811002, 0.947458293300273, 0.9317130982882356]"
3,"[12, 63, 91, 66, 91, 22, 58, 11, 45, 38]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.006611527304385, 1.01113477069907, 1.0126780275375014, 1.0102714104987913, 1.0063238060161763, 0.9997748238368427, 0.985945425451307, 0.9649190443564711, 0.9347118404944953, 0.9114873999381599]"
4,"[3, 46, 49, 64, 0, 93, 87, 3, 17, 29]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.006995834713135, 1.011826188485266, 1.0136604451302975, 1.0102729534241994, 1.00085005125038, 0.9858173626453474, 0.9668550293011023, 0.9456968788983617, 0.9333004441464148, 0.9198052486983932]"
5,"[36, 40, 59, 0, 11, 15, 68, 13, 77, 65]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.0064572942151544, 1.011575497375255, 1.013853792214118, 1.0115345935185491, 1.0022712192791619, 0.9879687846477557, 0.9702317710795287, 0.9531147141836558, 0.9289133355080652, 0.916840425216777]"
6,"[78, 10, 26, 27, 54, 82, 1, 67, 71, 33]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.0059766720352274, 1.009289326025463, 1.01017603179075, 1.0077228046838922, 1.0007438199831913, 0.991840490818953, 0.9712746287989436, 0.9417787857434551, 0.9128358678842643, 0.8812958457405987]"
7,"[67, 65, 79, 11, 68, 43, 98, 90, 27, 52]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.0061335070176318, 1.0094975033597888, 1.0094843365866348, 1.0066079362166662, 0.9982769812938678, 0.984809406401582, 0.9665105309978281, 0.9450252843662882, 0.925257941295647, 0.9036292043323456]"
8,"[59, 54, 74, 38, 50, 40, 91, 78, 95, 53]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.0064977877409556, 1.0101981679940615, 1.0118625489978452, 1.0093309878846464, 0.9996718952902192, 0.9868960643234488, 0.9683948970947204, 0.9543173080029198, 0.9379273749303212, 0.9144691005277417]"
9,"[57, 28, 38, 76, 8, 33, 6, 20, 16, 63]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.006534938395272, 1.011729529331225, 1.014367702960036, 1.0131065087409248, 1.0044008842439172, 0.9879640248203022, 0.9628309819000049, 0.9398840758442435, 0.9267790076579377, 0.914371309502087]"
10,"[19, 86, 12, 28, 93, 3, 38, 54, 92, 51]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0076134804892076, 1.0152849260635748, 1.0230147780391465, 1.0308034810919189, 1.0386514832834197, 1.0465592360864848, 1.0545271944112287, 1.0625558166312183, 1.070645564609835, 1.0787969037268488]","[1, 1.0066633481403915, 1.0101990835475336, 1.011816316164876, 1.0092856188556845, 1.0046982113249259, 0.9956299273186967, 0.9845441377574301, 0.9632781781608772, 0.937320150548656, 0.9040091439137868]"
