run,indices,signs,weights,results
1,"[6060, 4202, 8117, 6471, 5568, 4084, 1608, 810, 4027, 3241]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0793791053198698, 1.1647077358708287, 1.2491231681473234, 1.3291571947828966, 1.3988520051318567, 1.4863649625172668, -1.5440346336949662, -1.6103830964946368, -1.7312239010927712, -1.837376212756384]"
2,"[4218, 6055, 6392, 279, 7143, 4790, 7515, 136, 295, 4844]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0768438785113226, 1.1607160415434339, 1.2447040639892533, 1.3269346038403904, 1.407354310980652, 1.4819446969658154, 1.5391812085242893, 1.585326667214871, 1.6830652418773353, 1.779292030366622]"
3,"[7653, 4321, 5801, 7257, 1835, 4291, 7244, 5542, 3309, 3027]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0787273687825643, 1.1557187296458222, 1.2405888935694163, 1.327795192627917, 1.410976642523475, 1.498015448881508, -1.5834620694245733, -1.6701654207325718, -1.7465035710000427, -1.8322232339997142]"
4,"[4643, 5872, 3206, 6367, 6280, 4470, 3321, 5727, 2497, 489]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, -1.1708548348788401, -1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0783894286634752, -1.1588649490480718, -1.2516782118739571, -1.3392657370271974, -1.4258667502298827, -1.514489925809783, -1.6020626115048318, -1.675556433484796, -1.697180129138366, -1.7670553806697236]"
5,"[8058, 3286, 6910, 5632, 3157, 7877, 5421, 8013, 1670, 2750]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0793611582646057, 1.1632736039325415, 1.2520132336086562, 1.3384772900708708, 1.4167497804161018, 1.4756862686131547, 1.5373117347218184, 1.5772586324148008, 1.6365596570660754, 1.669216858156753]"
6,"[7896, 7937, 2811, 1968, 3674, 8100, 7895, 1835, 2445, 1098]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0795541535602076, 1.160095370163232, 1.244388905068404, 1.3276280562849865, 1.4105897354440886, 1.4915772346760163, 1.5812192065097181, 1.671550009124434, 1.7682958142991536, 1.911363040491944]"
7,"[2398, 4480, 229, 4237, 3264, 2422, 2874, 5394, 3841, 7215]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0778309771780243, 1.1548356368640504, 1.238627002747024, 1.330444287966484, 1.414395728914848, 1.5076016279948652, 1.5879609520113978, 1.6401427045291352, 1.699447022729986, 1.7443457931278143]"
8,"[3119, 419, 1433, 1976, 247, 3907, 4796, 1852, 6798, 7247]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.073575744003712, 1.1524159319130325, 1.2325939490515483, 1.321323132978959, 1.3894961333567222, 1.458660779284672, 1.5091999139447678, 1.5696567025813273, 1.6729224159924478, 1.7791679065078558]"
9,"[7041, 5859, 6311, 2218, 2494, 2512, 6031, 5799, 5168, 5275]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0773243266462484, 1.1554393575909139, 1.234822432516451, 1.3230885004618447, -1.4066981435215875, -1.4869464774761278, -1.5677059382687952, -1.6449715402476575, -1.7065445843784364, -1.794571200579217]"
10,"[4566, 6577, 3288, 2821, 6692, 4284, 7263, 2051, 3168, 7981]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.07867662135316, 1.1620760160146104, 1.239943931648165, 1.3232487196386744, 1.3830536134647489, 1.4734445672598977, 1.5581726765337527, 1.6256566624215096, 1.6706938933421118, 1.660861854634265]"
