run,indices,signs,weights,results
68,"[22, 204, 743, 320, 110, 765, 864, 621, 79, 819]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0782320916788324, 1.1610003563298243, 1.248206347730851, 1.3294010177894675, 1.4219955356553566, 1.510707919049015, 1.579188292846901, 1.6655741522432705, 1.7047608934449139, 1.7723030894024816]"
69,"[119, 394, 238, 23, 817, 578, 137, 334, 474, 596]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0781871653937354, 1.156452298567002, 1.242171761376109, 1.328176510747536, 1.4159962120848864, 1.4917121406721972, 1.5551151675954757, 1.591404739635512, 1.6023791449586804, 1.638092750254039]"
70,"[701, 543, 552, 959, 266, 797, 459, 129, 511, 344]","[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.0820604580516013, -1.1708548348788401, -1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, -1.0736641985903161, -1.1585488927339456, -1.234734306624757, -1.302032601693342, -1.39426118317723, -1.5036159271782117, -1.607438768938172, -1.7064986340814745, -1.7811418203337468, -1.8452608899997345]"
71,"[444, 485, 102, 54, 926, 625, 120, 343, 335, 257]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0764186177752328, 1.156623937694979, 1.2402709322124896, 1.3235712957189407, 1.4139063800813412, 1.4982732499004296, 1.576121279621593, 1.6281093772365172, 1.7322114632807835, 1.7718682519081073]"
72,"[167, 961, 991, 530, 571, 284, 7, 53, 622, 428]","[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0783078602896001, 1.1626426577573856, 1.2466453971534384, 1.3301809561888653, 1.4162505785017376, -1.5047533620213933, -1.5899491903206375, -1.6693676712838372, -1.734442871735035, -1.8542678603233298]"
73,"[952, 245, 474, 265, 745, 906, 626, 65, 667, 892]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0780837265083298, 1.1636406295752248, 1.2479258336945098, 1.3351298570474395, 1.4208037391788375, 1.4883014523158162, 1.5679746748019288, 1.6039461572547928, 1.6314025705467043, 1.717726887964682]"
74,"[26, 84, 309, 687, 590, 934, 600, 368, 946, 488]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0797772463230029, 1.1644822055685575, 1.2507927657550868, 1.3354032593792475, 1.4232948258624418, 1.5137572268251296, 1.5827440899620213, 1.617660217441075, 1.6984638032881565, 1.7130811990893586]"
75,"[818, 557, 431, 840, 659, 928, 958, 509, 844, 818]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.079694301949257, 1.1625664346264994, 1.247226134132641, 1.3334834847886263, 1.4241233681212013, 1.5118751645752817, 1.5782118118281243, 1.6257337585256542, 1.6595902278189056, 1.7122785101313671]"
76,"[110, 118, 130, 771, 349, 404, 495, 463, 559, 211]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0792950421638567, 1.1615727510905134, 1.2455230387306033, 1.3223034203184585, 1.4037028978015154, 1.4782846608441265, 1.5405229509036662, 1.5911985522125127, 1.6361113862369263, 1.6398459148073994]"
77,"[805, 484, 172, 128, 875, 881, 185, 95, 1, 926]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.077885685546765, 1.1601137438741937, 1.2380836055655375, 1.3250406762196696, 1.4091768025205285, 1.4979741761738412, 1.5950884030475025, 1.6598397304201613, 1.7017726820550179, 1.780718382435115]"
78,"[573, 35, 241, 400, 264, 403, 242, 143, 307, 609]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0770388304648442, 1.159193311637954, 1.2446569279049724, 1.3345181234056365, 1.4270136595084768, 1.513642208261567, 1.5672589791671783, 1.6020492342559707, -1.6205150802609063, -1.7262353423583123]"
79,"[349, 427, 705, 457, 554, 445, 51, 52, 361, 435]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0784936343533984, 1.1644282912815946, 1.2500541541244516, 1.3330808142725818, 1.4129363641266859, 1.473078425062134, 1.5434727424663772, 1.619470255793906, 1.7079050770204272, 1.7864934796919016]"
80,"[542, 684, 152, 553, 609, 460, 641, 900, 16, 265]","[-1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, -1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, -1.0775536066546312, 1.1591932949002188, 1.2415555969460361, 1.3244539109307079, 1.4173168723585239, 1.5063035394629156, 1.6057911436882626, 1.6937106467232879, 1.7676400528113885, 1.8304109060789822]"
81,"[340, 427, 994, 615, 230, 968, 485, 262, 329, 664]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.078872191547298, 1.160965159894131, 1.2458533128105567, 1.3265654497988189, -1.4003066505361617, -1.4653520113919558, -1.5441244366074187, -1.6384440694928872, -1.778937675368145, -1.9632310578006953]"
82,"[874, 821, 533, 311, 417, 419, 837, 55, 650, 610]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0791321799511397, 1.160749258848202, 1.240837432271147, 1.329234384672486, 1.4235134504807485, 1.5022882802158064, 1.581293697906909, 1.6750409486684916, 1.6983947151509378, 1.7640422835991627]"
83,"[954, 717, 181, 251, 380, 873, 399, 402, 618, 162]","[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, -1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0784632359757833, 1.1625673366047309, -1.2492941574662277, -1.3377403988781393, -1.4206493682034935, -1.5098512593053355, -1.6042216419461022, -1.706171038676903, -1.8069068422769619, -1.9057731483656288]"
84,"[343, 166, 823, 341, 646, 485, 490, 359, 371, 200]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.07784265140743, 1.1622266220442152, 1.2433722189399412, 1.3280490209189173, 1.3989246450680266, 1.4615719711745216, -1.5422183787198076, -1.6074361915286342, -1.6956287820950602, -1.7843952469799849]"
85,"[41, 144, 253, 148, 705, 89, 984, 165, 831, 262]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0765525108326681, 1.163259500313904, 1.2504447411902726, 1.337051320412881, 1.4119407066947025, 1.5016725499316623, 1.557760874341333, 1.5865440920002358, 1.6468297325183352, 1.6964860058682882]"
86,"[703, 279, 195, 584, 985, 994, 27, 34, 410, 144]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.079622319657081, 1.1611088593599965, 1.2466402836821164, 1.3320489913649352, 1.4170254978705663, 1.5096013750671649, 1.595558973012755, 1.668607964624373, 1.7522173287413705, 1.8451587205934994]"
