run,indices,signs,weights,results
251,"[3644, 2525, 5158, 7402, 6667, 7963, 86, 6698, 7135, 1068]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0785896483134298, 1.1558385513079386, 1.2452956641720876, 1.3247498981871262, 1.4050046879690572, 1.494934330745944, 1.578621587588197, -1.6702764828842345, -1.7985054626090737, -1.9264437562767196]"
252,"[3576, 459, 4602, 4013, 1144, 4745, 3018, 6778, 4159, 2034]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0781494242262102, 1.1625538838232123, 1.2411088032168578, 1.3299298987890158, 1.4169027642483547, 1.5038322938610333, 1.5439776927055067, 1.630493053366523, 1.653466304861264, 1.6934435221434587]"
253,"[2, 8210, 2205, 2140, 7139, 19, 893, 5535, 5280, 4487]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0780883174443292, 1.1639764969340523, 1.2498706390628747, 1.33800920197353, -1.4271395744222015, -1.5045220751453015, -1.5902644956560188, -1.6379139676348262, -1.652617206491663, -1.7321925712273896]"
254,"[31, 958, 3938, 4582, 1178, 4345, 4642, 666, 5181, 1831]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0763185950496805, 1.1623999115790475, 1.2473943594222974, 1.3327222965584273, 1.408615856331907, 1.4866754089962522, 1.5624969980395644, 1.6529655439925974, 1.7115896528610646, 1.803529084237004]"
255,"[6336, 551, 4014, 929, 1810, 6195, 7960, 2858, 5885, 6805]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0800738296219687, 1.1638821256595413, 1.2509188981296129, 1.341612037896882, 1.42642068700157, 1.5021704984815274, 1.5698137416901088, 1.6392526700045538, 1.7083113819933553, 1.8068310014643711]"
256,"[1530, 2569, 7063, 5199, 2422, 3276, 3996, 4332, 6617, 812]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0784421602603758, 1.157438255032953, 1.242869628332286, 1.329393116486001, 1.407916095771415, 1.4858920483375235, 1.5433180676879654, 1.6445850065023255, 1.727708342566119, 1.849553478075478]"
257,"[1796, 6704, 3487, 133, 7312, 6100, 3743, 4000, 4095, 2542]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0790864245886733, 1.1613407077431892, 1.2414714151244142, 1.3221783595687993, 1.3967471434368717, 1.4822998682813884, 1.5639909074448812, 1.6531049286910988, 1.74937002447844, 1.818075554028221]"
258,"[6743, 4756, 4297, 2880, 3657, 7937, 407, 7584, 7461, 5009]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0749149172111596, 1.1504276477882742, 1.229194433826279, 1.310884590886442, 1.3879951910455683, 1.4525577908309406, 1.5406675711204314, 1.669933446188301, 1.805658474918546, 1.8486677954943684]"
259,"[714, 2391, 857, 7989, 3699, 266, 1540, 7407, 3984, 1464]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0793495212451678, 1.1608674941490063, 1.2426825260527818, 1.3130506874807883, 1.388493153739452, 1.4740287151037668, 1.537103740777379, 1.606578564054381, 1.691553022493957, 1.7774183949452373]"
260,"[535, 1858, 5861, 1625, 3327, 4905, 456, 2369, 1278, 6965]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0723961341330976, 1.145891169833752, 1.2242599657079825, 1.3069256301643057, -1.3893791194212102, -1.4724010422283358, -1.5484683844382605, -1.6131281882472268, -1.659595576814688, -1.7604702329042634]"
