snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
5.000000000000000278e-02,9.998124690069659648e-01
1.000000000000000056e-01,9.992500135642046200e-01
1.500000000000000222e-01,9.983130575388410310e-01
2.000000000000000111e-01,9.970022072515154488e-01
2.500000000000000000e-01,9.953185257474934655e-01
3.000000000000000444e-01,9.932630761272966957e-01
3.500000000000000333e-01,9.908376769626050518e-01
4.000000000000000222e-01,9.880438607420802821e-01
4.500000000000000111e-01,9.848842608819342592e-01
5.000000000000000000e-01,9.813608732808601909e-01
