snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
1.000000000000000021e-02,9.999924959750963183e-01
2.000000000000000042e-02,9.999699845667149312e-01
2.999999999999999889e-02,9.999324664128153017e-01
4.000000000000000083e-02,9.998799415235737342e-01
5.000000000000000278e-02,9.998124138133385186e-01
5.999999999999999778e-02,9.997298806747487721e-01
7.000000000000000666e-02,9.996323513815404960e-01
8.000000000000000167e-02,9.995198193443299850e-01
8.999999999999999667e-02,9.993923004327830428e-01
1.000000000000000056e-01,9.992497821614276798e-01
