x,y,z
2.0,16.2,142690222080
2.3,17.3,163263283200
2.6,18.0,169869312000
2.9,18.7,178803179520
3.2,19.1,198789038080
3.5,19.6,210453397504
3.8,20.1,215822106624
4.1,21.0,225485783040
4.4,21.5,230854492160
4.699999999999999,22.2,238370684928
