snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.999999999999999889e-01,9.553551467788529150e-01
5.999999999999999778e-01,8.294415896364473184e-01
8.999999999999999112e-01,6.447453561905914787e-01
1.199999999999999956e+00,4.342174291884196013e-01
1.500000000000000000e+00,2.354110125902878492e-01
1.799999999999999822e+00,8.374597602222672021e-02
2.100000000000000089e+00,6.472095717071191245e-03
2.399999999999999911e+00,1.754909955467559568e-02
2.699999999999999734e+00,1.149056417605084923e-01
3.000000000000000000e+00,2.811192740898109665e-01
