snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
4.000000000000000222e-01,9.674309267022285219e-01
8.000000000000000444e-01,9.007717963384351822e-01
1.200000000000000178e+00,8.272000287217673442e-01
1.600000000000000089e+00,7.467514706915416856e-01
2.000000000000000000e+00,6.317877780471697902e-01
2.400000000000000355e+00,5.843184498634227397e-01
2.800000000000000266e+00,5.032573090442716834e-01
3.200000000000000178e+00,4.576549953997930964e-01
3.600000000000000089e+00,4.411729368699390808e-01
4.000000000000000000e+00,4.380224111192407843e-01
