snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.500000000000000000e+00,6.065493721622747803e-01
5.000000000000000000e+00,5.280664686667885244e-02
7.500000000000000000e+00,2.151276754192167906e-01
1.000000000000000000e+01,8.279529787271546759e-01
1.250000000000000000e+01,9.378052146339219686e-01
1.500000000000000000e+01,3.296314958482670088e-01
1.750000000000000000e+01,3.010187937376895828e-03
2.000000000000000000e+01,4.627338887589554917e-01
2.250000000000000000e+01,9.727899271215101340e-01
2.500000000000000000e+01,7.517862613800653238e-01
