x,y,z
1.0,12.0,50059018240
1.1,12.0,62746787840
1.2,12.0,62746787840
1.3,12.333333333333334,64438490453.33333333333333333
1.4,13.333333333333334,74169275733.33333333333333333
1.5,13.666666666666666,89226827093.33333333333333333
1.6,14.333333333333334,98873726293.33333333333333333
1.7000000000000002,14.666666666666666,114700233386.6666666666666667
1.8,15.0,117440512000
1.9,15.666666666666666,125661347840
2.0,17.0,156866969600
2.1,17.333333333333332,163577856000
2.2,18.0,169869312000
2.3,18.666666666666668,184129945600
2.4000000000000004,19.333333333333332,203116161706.6666666666666667
2.5,19.666666666666668,211169225386.6666666666666667
2.6,20.0,214748364800
2.7,21.0,225485783040
2.8,21.0,225485783040
2.9000000000000004,22.333333333333332,239802340693.3333333333333333
