x,y,errorbars
3.0,0.3794414838307456,0.0
2.8,0.3562398923315232,0.004015568248428181
2.6,0.3395123910403936,0.005732950649458126
2.4,0.3248140764056933,0.006183307726779326
2.2,0.31424752678285023,0.008986419001599874
2.0,0.3059798315086212,0.008296263786675993
1.7999999999999998,0.2997002818627795,0.011242171619430051
1.5999999999999999,0.29630722317692204,0.0111194253670041
1.4,0.2951193540749248,0.010293812795958798
1.2,0.29435715559401787,0.009968278192098681
1.0,0.29589380761034756,0.010195917060844288
