Time,Cost
0.0,5.5
0.02040816326530612,7.0
0.04081632653061224,7.5
0.061224489795918366,8.5
0.08163265306122448,8.5
0.1020408163265306,9.0
0.12244897959183673,10.5
0.14285714285714285,10.5
0.16326530612244897,11.0
0.18367346938775508,12.0
0.2040816326530612,12.5
0.22448979591836732,13.5
0.24489795918367346,14.5
0.26530612244897955,14.5
0.2857142857142857,14.5
0.3061224489795918,16.0
0.32653061224489793,16.0
0.3469387755102041,16.0
0.36734693877551017,17.5
0.3877551020408163,18.0
0.4081632653061224,18.5
0.42857142857142855,19.5
0.44897959183673464,20.0
0.4693877551020408,22.0
0.4897959183673469,21.0
0.5102040816326531,23.5
0.5306122448979591,25.0
0.5510204081632653,25.0
0.5714285714285714,27.5
0.5918367346938775,28.5
0.6122448979591836,30.0
0.6326530612244897,31.5
0.6530612244897959,32.5
0.673469387755102,33.0
0.6938775510204082,34.5
0.7142857142857142,36.0
0.7346938775510203,37.0
0.7551020408163265,37.5
0.7755102040816326,41.0
0.7959183673469387,41.5
0.8163265306122448,42.5
0.836734693877551,44.0
0.8571428571428571,46.5
0.8775510204081632,48.5
0.8979591836734693,49.0
0.9183673469387754,51.5
0.9387755102040816,54.0
0.9591836734693877,55.0
0.9795918367346939,58.5
1.0,58.5
