snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,9.999999999999998890e-01
2.000000000000000111e-01,9.771455857731020656e-01
3.000000000000000444e-01,9.057820203389496116e-01
4.000000000000000222e-01,7.786011689853415962e-01
5.000000000000000000e-01,6.056540359179226618e-01
6.000000000000000888e-01,4.372062717357731443e-01
7.000000000000000666e-01,3.308428983608512342e-01
8.000000000000000444e-01,2.985990831468596785e-01
9.000000000000000222e-01,3.106530014364335957e-01
1.000000000000000000e+00,3.369611382522631482e-01
