Time,Cost
0.0,[36. 45. 51. 57. 60. 62. 63. 64. 64. 64.]
1.0,"[Decimal('1221102151925760') Decimal('2228830328586240')
 Decimal('2607491825270784') Decimal('3008263813595136')
 Decimal('3166593487994880') Decimal('3272146604261376')
 Decimal('3324923162394624') Decimal('3377699720527872')
 Decimal('3377699720527872') Decimal('3377699720527872')]"
