snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.799867691329096075e-01
4.000000000000000222e-01,9.215666617402971106e-01
6.000000000000000888e-01,8.294315036886252823e-01
8.000000000000000444e-01,7.109492375479308235e-01
1.000000000000000000e+00,5.755884427408578530e-01
1.200000000000000178e+00,4.341812341908522499e-01
1.400000000000000133e+00,2.980365112474367972e-01
1.600000000000000089e+00,1.780157980107832105e-01
1.800000000000000044e+00,8.371730511416103360e-02
2.000000000000000000e+00,2.275873917231546750e-02
