snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
1.000000000000000056e-01,9.992497914441427209e-01
2.000000000000000111e-01,9.970014183039441757e-01
3.000000000000000444e-01,9.932618243146142945e-01
4.000000000000000222e-01,9.880430270849709373e-01
5.000000000000000000e-01,9.813622655899562064e-01
6.000000000000000888e-01,9.732417523877427978e-01
7.000000000000000666e-01,9.637081382727978873e-01
8.000000000000000444e-01,9.527919703842473442e-01
9.000000000000000222e-01,9.405273478182496483e-01
1.000000000000000000e+00,9.269517948474585989e-01
